Res.	Record	Opponent	Method	Event	Round	Time	Location
Draw	6-7-2	Koji Oishi	Decision (draw)	Pancrase - Passion Tour 11	2	5:00	Tokyo , Japan
Loss	6-7-1	Katsuya Inoue	Decision (unanimous)	GCM - Cage Force 17	3	5:00	Tokyo , Japan
Win	6-6-1	Koji Anjo	Decision (majority)	GCM - Cage Force 15	3	5:00	Tokyo , Japan
Win	5-6-1	Daisuke Hoshino	Decision (unanimous)	GCM - Cage Force 13	3	5:00	Tokyo , Japan
Loss	4-6-1	Kuniyoshi Hironaka	TKO (punches)	GCM - Cage Force 11	1	3:41	Tokyo , Japan
Loss	4-5-1	Vitor Ribeiro	TKO (cut)	DREAM 8	1	7:58	Nagoya , Japan
Draw	4-4-1	Yasunori Kanehara	Draw	GCM - Cage Force EX	3	5:00	Tokorozawa , Japan
Loss	4-4	Naoyuki Kotani	Submission (heel hook)	ZST - ZST.18: Sixth Anniversary	2	4:38	Tokyo , Japan
Loss	4-3	Shinya Aoki	Submission (gogoplata)	DREAM.4	1	5:12	Yokohama , Japan
Win	4-2	Artur Oumakhanov	Decision (unanimous)	DREAM 1	2	5:00	Saitama , Japan
Loss	3-2	Caol Uno	Decision (unanimous)	Hero's 9	3	5:00	Yokohama , Japan
Win	3-1	Isaiah Hill	Decision (split)	K-1 HERO's - Dynamite!! USA	3	5:00	Los Angeles, California , USA
Win	2-1	Shuichiro Katsumura	TKO (punches)	K-1 - Premium 2006 Dynamite!!	1	4:12	Osaka , Japan
Loss	1-1	Yoshihiro Akiyama	KO (spinning back kick)	Hero's 5	2	2:25	Tokyo , Japan
Win	1-0	Remigijus Morkevicius	Decision (unanimous)	K-1 - Premium 2005 Dynamite!!	2	5:00	Osaka , Japan
