Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
33	January 2	@ Milwaukee Bucks	L 97–103 (OT)	Kevin Durant (31)	Thabo Sefolosha, Russell Westbrook (9)	Russell Westbrook (13)	Bradley Center 15,264	18-15
34	January 4	@ Chicago Bulls	W 98–85 (OT)	Russell Westbrook (29)	Thabo Sefolosha (9)	Russell Westbrook (6)	United Center 18,838	19-15
35	January 6	New Orleans Hornets	L 92–97 (OT)	Kevin Durant (27)	Thabo Sefolosha, Nick Collision (7)	Russell Westbrook (9)	Ford Center 17,836	19-16
36	January 9	Indiana Pacers	W 108–102 (OT)	Kevin Durant (40)	Kevin Durant (12)	Russell Westbrook (6)	Ford Center 18,203	20-16
37	January 11	New York Knicks	W 106–88 (OT)	Kevin Durant (30)	Nenad Krstic, Thabo Sefolosha (8)	Russell Westbrook (5)	Ford Center 17,152	21-16
38	January 13	San Antonio Spurs	L 108–109 (OT)	Kevin Durant (35)	Jeff Green (10)	Russell Westbrook (13)	Ford Center 17,886	21-17
39	January 15	@ Dallas Mavericks	L 98–99 (OT)	Kevin Durant (30)	Kevin Durant (13)	Russell Westbrook (6)	American Airlines Center 20,064	21-18
40	January 16	Miami Heat	W 98–80 (OT)	Kevin Durant (36)	Kevin Durant, Serge Ibaka (10)	Russell Westbrook (11)	Ford Center 18,203	22-18
41	January 18	@ Atlanta Hawks	W 94–91 (OT)	Kevin Durant (29)	Jeff Green (11)	Russell Westbrook (9)	Philips Arena 14,666	23-18
42	January 20	@ Minnesota Timberwolves	W 94–92 (OT)	Kevin Durant (31)	Kevin Durant (10)	Russell Westbrook (9)	Target Center 12,995	24-18
43	January 22	@ Memphis Grizzlies	L 84–86 (OT)	Kevin Durant (30)	Kevin Durant, Jeff Green (8)	Eric Maynor (6)	FedEx Forum 12,948	24-19
44	January 23	@ Cleveland Cavaliers	L 99–100 (OT)	Kevin Durant (34)	Kevin Durant (10)	Russell Westbrrok (5)	Quicken Loans Arena 20,562	24-20
45	January 27	Chicago Bulls	L 86–96 (OT)	Kevin Durant (28)	Kevin Durant (11)	Russell Westbrook (7)	Ford Center 17,562	24-21
46	January 29	Denver Nuggets	W 101–84 (OT)	Kevin Durant (30)	Serge Ibaka (8)	Russell Westbrook (8)	Ford Center 18,203	25-21
