Rank	Name	Country	Leader's jerseys	Vuelta Wins	Points	Years
1	Alex Zülle	Switzerland	48	2	0	1993, 1996, 1997, 2000
2	Roberto Heras	Spain	34	3	1	2000, 2002, 2003, 2004, 2005
3=	Delio Rodriguez	Spain	32	1	1	1941, 1945, 1946, 1947
3=	Tony Rominger	Switzerland	32	3	1	1992, 1993, 1994
3=	Gustaaf Deloor	Belgium	32	2	0	1935, 1936
6	Julián Berrendero	Spain	27	2	0	1941, 1942, 1945, 1948
7	Domingo Perurena	Spain	25	0	2	1967, 1970, 1971, 1972, 1975, 1975
8	Laurent Jalabert	France	24	1	4	1995, 1996, 1997, 1998
9=	Abraham Olano	Spain	23	1	0	1995, 1998, 1999, 2000
9=	Alejandro Valverde	Spain	23	1	2	2006, 2008, 2009, 2012
11=	Manuel Costa	Spain	22	0	0	1946, 1947
11=	Denis Menchov	Russia	22	2	0	2005, 2007
13	Óscar Sevilla	Spain	21	0	0	2001, 2002
14	Freddy Maertens	Belgium	20	1	1	1977
14=	Vincenzo Nibali	Italy	20	1	0	2010, 2013
15	Emilio Rodriguez	Spain	19	1	0	1950
16=	Melchior Mauri	Spain	18	1	0	1991
16=	Joaquim Rodríguez	Spain	18	0	0	2003, 2010, 2011, 2012
18=	René Pijnen	Netherlands	17	0	0	1970, 1971, 1972
19=	Angelo Conterno	Italy	16	1	0	1956
19=	José Manuel Fuente	Spain	16	2	0	1972, 1974
19=	Isidro Nozal	Spain	16	0	0	2003
22=	Jacques Anquetil	France	15	1	0	1963
22=	Pedro Delgado	Spain	15	2	0	1984, 1985, 1989
22=	Bernard Hinault	France	15	2	0	1978, 1983
22=	Dalmacio Langarica	Spain	15	1	0	1946, 1948
22=	Faustino Rupérez	Spain	15	1	0	1980
27=	Rudi Altig	Germany	14	1	1	1962, 1968
27=	Alberto Contador	Spain	14	2	0	2008, 2012
27=	Laudelino Cubino	Spain	14	0	0	1988
30=	Miguel María Lasa	Spain	13	0	1	1972, 1975
30=	Robert Millar	United Kingdom	13	0	0	1985, 1986
30=	Joop Zoetemelk	Netherlands	13	1	0	1979
33=	Giovanni Battaglin	Italy	12	1	0	1981
33=	Marco Giovannetti	Italy	12	1	0	1990
33=	Jesús Montoya	Spain	12	0	0	1992
33=	Álvaro Pino	Spain	12	1	0	1983, 1986
33=	Bernardo Ruiz	Spain	12	1	0	1948
33=	Fermín Trueba	Spain	12	0	0	1941
33=	Rolf Wolfshohl	Germany	12	1	0	1965
40=	Luis Herrera	Colombia	11	1	0	1987
40=	Rik Van Looy	Belgium	11	0	1	1958, 1959, 1964, 1965
42=	Jean Pierre Ducasse	France	10	0	0	1967
42=	Agustín Tamames	Spain	10	1	0	1970, 1971, 1975
42=	Jan Ullrich	Germany	10	1	0	1999
42=	Valentín Uriona	Spain	10	0	0	1966, 1967
46=	Seamus Elliott	Ireland	9	0	0	1962
46=	Ferdi Van den Haute	Belgium	9	0	1	1978
46=	Omar Hernandez	Colombia	9	0	0	1989
46=	Jesús Loroño	Spain	9	1	0	1955, 1957
46=	Eddy Merckx	Belgium	9	1	1	1973
46=	Pello Ruiz Cabestany	Spain	9	0	0	1985, 1990, 1992
52=	Eric Caritoux	France	8	1	0	1984
52=	Régis Clère	France	8	0	0	1981
52=	Marc Gomez	France	8	0	0	1982, 1986
52=	Julián Gorospe	Spain	8	0	0	1983, 1990
52=	José Pesarrodona	Spain	8	1	0	1973, 1976
57=	Ángel Arroyo	Spain	7	0	0	1982
57=	Joseba Beloki	Spain	7	0	0	2001, 2002
57=	Juan José Cobo	Spain	7	1	0	2011
57=	Sean Kelly	Ireland	7	1	4	1987, 1988
57=	Marino Lejarreta	Spain	7	1	1	1982, 1983
57=	Christian Levavasseur	France	7	0	0	1979
57=	Francesco Moser	Italy	7	0	0	1984
57=	Roger Pingeon	France	7	1	0	1969
57=	Raymond Poulidor	France	7	1	0	1964, 1965
57=	Jean Stablinski	France	7	1	0	1958
57=	Dietrich Thurau	Germany	7	0	1	1976
69=	Ferdinand Bracke	Belgium	6	1	0	1971
69=	Claude Criquielion	Belgium	6	0	0	1982
69=	Armand Desmet	France	6	0	0	1960
69=	Jean Dotto	France	6	1	0	1955
69=	Luis Ocaña	Spain	6	1	0	1970
74=	Joaquim Agostinho	Portugal	5	0	0	1976
74=	Igor Antón	Spain	5	0	0	2010
74=	Fabian Cancellara	Switzerland	5	0	0	2009
74=	Sylvain Chavanel	France	5	0	0	2008, 2011
74=	Anselmo Fuerte	Spain	5	0	0	1988, 1991
74=	Dominique Gaigne	France	5	0	0	1983
74=	Philippe Gilbert	Belgium	5	0	0	2010
74=	Chris Horner	United States	5	1	0	2013
74=	Jan Janssen	Netherlands	5	1	2	1967, 1968
74=	Antonio Karmany	Spain	5	0	0	1959
74=	Floyd Landis	United States	5	0	0	2004
74=	Luis Otaño	Spain	5	0	0	1964
74=	José Pérez-Francés	Spain	5	0	1	1964, 1968
74=	Marcel Seynaeve	Belgium	5	0	0	1961
74=	Roberto Visentini	Italy	5	0	0	1980
74=	Alexander Vinokourov	Kazakhstan	5	1	0	2006
89=	Federico Bahamontes	Spain	4	0	0	1957
89=	Fabio Baldato	Italy	4	0	0	1996
89=	Daniele Bennati	Italy	4	0	1	2007, 2008, 2011
89=	Ángel Casero	Spain	4	1	0	2000, 2001
89=	Reimund Dietzen	Germany	4	0	0	1987
89=	Vladimir Efimkin	Russia	4	0	0	2007
89=	Francisco Gabica	Spain	4	1	0	1966
89=	Felice Gimondi	Italy	4	1	0	1968
89=	Miguel Indurain	Spain	4	0	0	1985
89=	José María Jiménez	Spain	4	0	1	1998
89=	Viktor Klimov	Russia	4	0	0	1990
89=	Egoi Martínez	Spain	4	0	0	2008
89=	Bradley McGee	Australia	4	0	0	2005
89=	André Messelis	Belgium	4	0	0	1961
89=	Lars Michaelsen	Denmark	4	0	0	1997
89=	Antonio Suárez	Spain	4	1	1	1959
89=	Roger Swerts	Belgium	4	0	0	1974, 1975
89=	Bradley Wiggins	United Kingdom	4	0	0	2011
107=	Antón Barrutia	Spain	3	0	0	1960, 1962
107=	Manuel Beltrán	Spain	3	0	0	2004
107=	Omer Braeckeveldt	Belgium	3	0	0	1950
107=	Janez Brajkovič	Slovenia	3	0	0	2006, 2013
107=	Joseph De Cauwer	Belgium	3	0	0	1976
107=	Daan De Groot	Belgium	3	0	0	1958
107=	Franz De Mulder	Belgium	3	1	0	1960
107=	José María Errandonea	Spain	3	0	0	1966
107=	Pierre Everaert	France	3	0	0	1959
107=	Alberto Fernández	Spain	3	0	0	1983
107=	Raphael Geminiani	France	3	0	0	1955
107=	Fabrizio Guidi	Italy	3	0	1	1997, 1998
107=	Thor Hushovd	Norway	3	0	1	2006
107=	Roland Leclerq	France	3	0	0	1989
107=	Fernando Manzaneque	Spain	3	0	0	1960
107=	David Millar	United Kingdom	3	0	0	2001
107=	Ramón Saez	Spain	3	0	0	1969
107=	José Segu	Spain	3	0	0	1959
107=	Luigi Sgarbozza	Italy	3	0	0	1969
107=	Raymond Steegmans	Belgium	3	0	1	1969
107=	Edouard Van Dyck	Belgium	3	1	0	1947
107=	Eusebio Vélez	Spain	3	0	0	1961, 1964
107=	Michael Wright	United Kingdom	3	0	0	1968, 1969
129=	Gilbert Bauvin	France	2	0	0	1955
129=	Santiago Botero	Colombia	2	0	0	2001
129=	Jonathan Castroviejo	Spain	2	0	0	2012
129=	Mark Cavendish	United Kingdom	2	0	1	2010
129=	Biagio Conte	Italy	2	0	0	1996
129=	Danilo Di Luca	Italy	2	0	0	2006
129=	Laurent Dufaux	Switzerland	2	0	0	1997
129=	Jacky Durand	France	2	0	0	1999
129=	Javier Elorriaga	Spain	2	0	0	1976
129=	Óscar Freire	Spain	2	0	0	2007
129=	Igor González Galdeano	Spain	2	0	0	1999, 2003
129=	André Greipel	Germany	2	0	1	2009
129=	Cees Haast	Netherlands	2	0	0	1966
129=	Benoît Joachim	Luxembourg	2	0	0	2004
129=	Gerben Karstens	Netherlands	2	0	0	1973
129=	Hennie Kuiper	Netherlands	2	0	0	1976
129=	Levi Leipheimer	United States	2	0	0	2008
129=	René Marigil	Spain	2	0	0	1955
129=	Bert Oosterbosch	Netherlands	2	0	0	1985
129=	Roberto Pagnin	Italy	2	0	0	1987
129=	Angelino Soler	Spain	2	1	0	1961
129=	José Luis Talamillo	Spain	2	0	0	1961
129=	Bernard Thévenet	France	2	0	0	1974
129=	Marcel Wüst	Germany	2	0	0	1999
129=	Markus Zberg	Switzerland	2	0	0	1998
156=	Felipe Alberdi	Spain	1	0	0	1960
156=	Alessandro Ballan	Italy	1	0	0	2008
156=	José Herrero Berrendero	Spain	1	0	0	1958
156=	Salvador Botella	Spain	1	0	1	1957
156=	Miguel Chacón	Spain	1	0	0	1957
156=	Hilaire Covreur	France	1	0	0	1958
