Rank	Population	Name	Former Name	Municipality
14	845	Qeqertarsuaq	Godhavn Lievely	Qaasuitsup
15	656	Qaanaaq	Thule	Qaasuitsup
16	558	Kangaatsiaq	—	Qaasuitsup
17	512	Kangerlussuaq	Bluie West-8 Søndre Strømfjord Sondrestrom	Qeqqata
18	452	Ittoqqortoormiit	Scoresbysund	Sermersooq
19	448	Kullorsuaq	—	Qaasuitsup
20	353	Kangaamiut	Gammel Sukkertoppen Sukkertoppen	Qeqqata
21	331	Kuummiit	—	Sermersooq
22	267	Kulusuk	Kap Dan	Sermersooq
23	263	Alluitsup Paa	Sydprøven	Kujalleq
24	258	Niaqornaarsuk	—	Qaasuitsup
25	246	Tasiusaq	—	Qaasuitsup
26	235	Saattut	—	Qaasuitsup
27	231	Attu	—	Qaasuitsup
28	211	Ikerasak	—	Qaasuitsup
29	203	Qeqertarsuatsiaat	Fiskenæsset	Sermersooq
29	203	Sermiligaaq	—	Sermersooq
31	201	Nuussuaq	Kraulshavn	Qaasuitsup
