Week	Date	Opponent	Result	Game Site
1	Sunday September 20	New York Giants	L 23–2	Forbes Field
2	Sunday September 27	Chicago Cardinals	W 14–13	Forbes Field
3	Sunday October 4	Boston Redskins	L 21–6	Forbes Field
4	Sunday October 11	Cincinnati Reds	W 17–3	Forbes Field
5	Sunday October 15	at Green Bay Packers	L 47–0	City Stadium
6	Sunday October 22	at Cincinnati Reds	T 0–0	Redland Field
7	Sunday October 29	at Boston Redskins	W 16–14	Fenway Park
8	Sunday November 5	at Brooklyn Dodgers	T 3–3	Ebbets Field
9	Sunday November 12	Brooklyn Dodgers	L 32–0	Forbes Field
10	Sunday November 19	at Philadelphia Eagles	L 25–6	Baker Bowl
11	Sunday December 3	at New York Giants	L 27–3	Polo Grounds
