Season	Date	Home team	Score	Away team	Venue	Competition round
1966	5 January 1966	Universitario	2–0	Alianza Lima	Estadio Nacional	Copa Libertadores Group 1
1966	23 March 1966	Alianza Lima	0–1 [F ]	Universitario	Estadio Nacional	Copa Libertadores Group 1
1972	25 February 1972	Universitario	2–1	Alianza Lima	Estadio Nacional	Copa Libertadores Group 4
1972	14 March 1972	Alianza Lima	2–2	Universitario	Estadio Nacional	Copa Libertadores Group 4
1979	24 February 1979	Alianza Lima	3–6	Universitario	Estadio Alejandro Villanueva	Copa Libertadores Group 3
1979	21 March 1979	Universitario	1–0	Alianza Lima	Estadio Nacional	Copa Libertadores Group 3
1983	12 March 1983	Universitario	0–0	Alianza Lima	Estadio Nacional	Copa Libertadores Group 3
1983	13 April 1983	Alianza Lima	2–1	Universitario	Estadio Alejandro Villanueva	Copa Libertadores Group 3
1988	1 July 1988	Universitario	0–0	Alianza Lima	Estadio Nacional	Copa Libertadores Group 4
1988	3 March 1988	Alianza Lima	0–2	Universitario	Estadio Nacional	Copa Libertadores Group 4
1994	2 February 1994	Universitario	0–1	Alianza Lima	Estadio Nacional	Copa Libertadores Group 3
1994	23 March 1994	Alianza Lima	1–2	Universitario	Estadio Alejandro Villanueva	Copa Libertadores Group 3
2002	4 September 2002	Universitario	0–1	Alianza Lima	Estadio Nacional	Copa Sudamericana Preliminary round
2002	11 September 2002	Alianza Lima	1–0	Universitario	Estadio Nacional	Copa Sudamericana Preliminary round
