Res.	Record	Opponent	Method	Event	Round	Location
Loss	8–5	Jake O'Brien	Decision (split)	UFC 94	3	Las Vegas, Nevada , United States
Loss	8–4	Shane Carwin	KO (punch)	UFC 84	1	Las Vegas, Nevada , United States
Win	8–3	Scott Junk	Submission (heel hook)	UFC 76	1	California , United States
Win	7–3	Anthony Perosh	Decision (unanimous)	UFC 66	3	Nevada , United States
Loss	6–3	Cheick Kongo	KO (knee)	UFC 62	1	Nevada , United States
Win	6–2	Dan Evensen	TKO (corner stoppage)	IFC: Caged Combat	2	California , United States
Win	5–2	Tom Howard	Submission (rear naked choke)	Valor Fighting: Showdown At Cache Creek	1	California , United States
Loss	4–2	Soa Palelei	TKO	Shooto Australia: NHB	1	Australia
Win	4–1	Vince Lucero	TKO	CFM: Octogono Extremo	1	Mexico
Loss	3–1	Kensuke Sasaki	Submission (guillotine choke)	X-1	1	Yokohama , Japan
Win	3–0	Jay White	TKO (strikes)	WEC 4	3	Connecticut , United States
Win	2–0	Sam Sotello	Submission (rear naked choke)	KOTC 16: Double Cross	1	California , United States
Win	1–0	Dennis Taddio	TKO (punches)	Shogun 1	1	Hawaii , United States
