Name	Notability	Reason for Seeking Refuge	Country	City	Missions Country	Start Date	End Date	Resolution
José Manuel Balmaceda	President of Chile	Defeated in the Chilean Civil War	Chile	Santiago	Argentina	August 29, 1891	September18,1891	Committed suicide
Leonardo Argüello Barreto	President of Nicaragua	Ousted by Anastasio Somoza García	Nicaragua	Managua	Mexico	May26,1947	December1947	Negotiated exile in Mexico
Jacobo Arbenz Guzmán	President of Guatemala	Ousted by Carlos Castillo Armas	Guatemala	Guatemala City	Mexico	June27,1954	June28,1954	Negotiated exile in Mexico
József Mindszenty	Hungarian Roman Catholic Church cardinal	Soviet Intervention	Hungary	Budapest	United States	November4,1956	November4,1971 (total 15 years)	Negotiated exile in Austria
Reino Häyhänen	Soviet Lieutenant Colonel	defection	France	Paris	United States	November4,1956	May 1957	Moved to the United States
The Siberian Seven	Siberian Pentecostals	prevented from emigrating	Soviet Union	Moscow	United States	June27,1978	June27,1983 (total: 5 years (last of them))	Allowed to emigrate to Israel and later the U.S.
Ange Patasse	Central African opposition leader	opposing Andre Kolingba government	Central African Republic	Bangui	France	February27,1982	March3,1982	Negotiated exile to Togo
Fang Lizhi and his wife	dissident in Tiananmen Square protests of 1989	forced end of Tiananmen Square protests of 1989	China PRC	Beijing	United States	June5,1989	June25,1990	Negotiated flight to the United States
Hou Dejian	dissident in Tiananmen Square protests of 1989	forced end of Tiananmen Square protests of 1989	China PRC	Beijing	Australia	June1989	August16,1989	Negotiated exit and deported back to native Taiwan
Manuel Noriega	President of Panama	United States invasion of Panama	Panama	Ciudad de Panama	Holy See	December24,1989	January3,1990	Negotiated arrest by United States forces
Michel Aoun	Lebanese Army commander	defeated in Lebanese Civil War	Lebanon	Beirut	France	October1990	August27,1991	Left to exile in France
Sylvestre Ntibantunganya	President of Burundi	military coup d'état	Burundi	Bujumbura	United States	July23,1996	June1997	Negotiated exit
João Bernardo Vieira	President of Guinea-Bissau	Guinea-Bissau Civil War	Guinea-Bissau	Bissau	Portugal	May1999	June1999	Negotiated exile in Portugal
Alassane Ouattara	Presidential candidate in Côte d'Ivoire	First Ivorian Civil War	Côte d'Ivoire	Abidjan	France	September19,2002	November2002	Negotiated exile in Gabon and France
Shahram Amiri	ian Iran nuclear scientist	disappeared from Iran	United States	Washington D.C.	Pakistan	July13,2010	July14,2010	returned to Iran
