Rank	First quarter	Second quarter	Third quarter	Fourth quarter
1	Exxon Mobil 336,525	PetroChina 366,662.9	Exxon Mobil 329,725	PetroChina 353,140.1
2	PetroChina 287,185	Exxon Mobil 341,140.3	PetroChina 325,097.5	Exxon Mobil 323,717.1
3	Wal-Mart 204,365	Industrial and Commercial Bank of China 257,004.4	Industrial and Commercial Bank of China 237,951.5	Microsoft 270,635.4
4	Industrial and Commercial Bank of China 187,885	Microsoft 211,546.2	Microsoft 229,630.7	Industrial and Commercial Bank of China 268,956.2
5	China Mobile 174,673	China Mobile 200,832.4	HSBC 198,561.1	Wal-Mart 203,653.6
6	Microsoft 163,320	Wal-Mart 188,752.0	China Mobile 195,680.4	China Construction Bank 201,436.1
7	AT&T 148,511	China Construction Bank 182,186.7	Wal-Mart 189,331.6	BHP Billiton 201,248
8	Johnson & Johnson 145,481	Petrobras 165,056.9	Petrobras 189,027.7	HSBC 199,254.9
9	Royal Dutch Shell 138,999	Johnson & Johnson 156,515.9	China Construction Bank 186,816.7	Petrobras 199,107.9
10	Procter & Gamble 138,013	Royal Dutch Shell 156,386.7	Royal Dutch Shell 175,986.1	Apple Inc. 189,801.7
