Year	Division	League	Regular Season	Playoffs	Open Cup
2003	4	USL PDL	4th, Southwest	Did not qualify	Did not qualify
2004	4	USL PDL	4th, Southwest	Did not qualify	Did not qualify
2005	4	USL PDL	4th, Southwest	Did not qualify	Did not qualify
2006	4	USL PDL	2nd, Northwest	Conference Finals	1st Round
2007	4	USL PDL	1st, Northwest	Conference Finals	1st Round
2008	4	USL PDL	4th, Northwest	Did not qualify	Did not qualify
2009	4	USL PDL	4th, Southwest	Did not qualify	Did not qualify
2010	4	USL PDL	8th, Southwest	Did not qualify	Did not qualify
2011	4	USL PDL	5th, Southwest	Did not qualify	Did not qualify
2012	4	USL PDL	6th, Southwest	Did not qualify	Did not qualify
