County	County seat	License Plate Code	Year founded	Population (2008 est.)	Population Percentage	Area (sq.mi.)	Area %
Ada	Boise	1A	1864	380,920	25.00 %	1,060	1.21 %
Adams	Council	2A	1911	3,499	00.23 %	1,370	1.57 %
Bannock	Pocatello	1B	1893	80,812	05.30 %	1,147	1.31 %
Bear Lake	Paris	2B	1893	5,798	00.38 %	1,049	1.20 %
Benewah	St. Maries	3B	1915	9,352	00.61 %	784	0.90 %
Bingham	Blackfoot	4B	1885	43,903	02.88 %	2,120	2.42 %
Blaine	Hailey	5B	1895	21,731	01.43 %	2,661	3.04 %
Boise	Idaho City	6B	1864	7,504	00.49 %	1,907	2.18 %
Bonner	Sandpoint	7B	1907	41,168	02.70 %	1,920	2.19 %
Bonneville	Idaho Falls	8B	1911	99,135	06.51 %	1,901	2.17 %
Boundary	Bonners Ferry	9B	1915	10,962	00.72 %	1,278	1.46 %
Butte	Arco	10B	1917	2,751	00.18 %	2,234	2.55 %
Camas	Fairfield	1C	1917	1,126	00.07 %	1,079	1.23 %
Canyon	Caldwell	2C	1891	183,939	12.07 %	604	0.69 %
Caribou	Soda Springs	3C	1919	6,826	00.45 %	1,799	2.06 %
Cassia	Burley	4C	1879	21,348	01.40 %	2,580	2.95 %
Clark	Dubois	5C	1919	910	00.06 %	1,765	2.02 %
Clearwater	Orofino	6C	1911	8,176	00.54 %	2,488	2.84 %
Custer	Challis	7C	1881	4,254	00.28 %	4,937	5.64 %
Elmore	Mountain Home	E	1889	28,997	01.90 %	3,101	3.54 %
Franklin	Preston	1F	1913	12,454	00.82 %	668	0.76 %
Fremont	St. Anthony	2F	1893	12,551	00.82 %	1,896	2.17 %
Gem	Emmett	1G	1915	16,513	01.08 %	566	0.65 %
Gooding	Gooding	2G	1913	14,295	00.94 %	734	0.84 %
Idaho	Grangeville	I	1861/1864	15,448	01.01 %	8,502	9.71 %
Jefferson	Rigby	1J	1913	23,860	01.57 %	1,106	1.26 %
Jerome	Jerome	2J	1919	20,468	01.34 %	602	0.69 %
Kootenai	Coeur d'Alene	K	1864	137,475	09.02 %	1,316	1.50 %
Latah	Moscow	1L	1888	35,906	02.36 %	1,077	1.23 %
Lemhi	Salmon	2L	1869	7,808	00.51 %	4,570	5.22 %
Lewis	Nezperce	3L	1911	3,594	00.24 %	480	0.55 %
Lincoln	Shoshone	4L	1895	4,503	00.30 %	1,206	1.38 %
Madison	Rexburg	1M	1914	37,456	02.46 %	473	0.54 %
Minidoka	Rupert	2M	1913	18,645	01.22 %	763	0.87 %
Nez Perce	Lewiston	N	1861/1864	38,975	02.56 %	856	0.98 %
Oneida	Malad City	1O	1864	4,130	00.27 %	1,202	1.37 %
Owyhee	Murphy	2O	1863	10,877	00.71 %	7,697	8.79 %
Payette	Payette	1P	1917	22,966	01.51 %	410	0.47 %
Power	American Falls	2P	1913	7,683	00.50 %	1,443	1.65 %
Shoshone	Wallace	S	1861/1864	12,913	00.85 %	2,636	3.01 %
Teton	Driggs	1T	1915	8,833	00.58 %	451	0.52 %
Twin Falls	Twin Falls	2T	1907	74,284	04.87 %	1,928	2.20 %
Valley	Cascade	V	1917	8,862	00.58 %	3,734	4.27 %
Washington	Weiser	W	1879	10,206	00.67 %	1,474	1.68 %
