Team	Driver	Laps	Time	Grid
South Africa	Adrian Zaugg	12	18'01.087	1
France	Loïc Duval	12	+7.532	2
Netherlands	Jeroen Bleekemolen	12	+8.097	5
Mexico	Salvador Durán	12	+8.205	3
Switzerland	Neel Jani	12	+8.581	4
Germany	Christian Vietoris	12	+10.344	6
Great Britain	Oliver Jarvis	12	+10.566	10
Ireland	Ralph Firman	12	+12.168	7
New Zealand	Jonny Reid	12	+13.934	8
India	Narain Karthikeyan	12	+18.516	11
Portugal	João Urbano	12	+24.967	9
Italy	Enrico Toccacelo	12	+25.717	13
Brazil	Sérgio Jimenez	12	+26.044	12
Lebanon	Chris Alajajian	12	+34.547	18
Czech Republic	Erik Janis	12	+35.268	14
Malaysia	Alex Yoong	12	+35.895	20
China	Cong Fu Cheng	12	+36.298	15
Pakistan	Adam Langley-Khan	12	+36.510	16
Canada	James Hinchcliffe	12	+39.509	21
Indonesia	Satrio Hermanto	12	+47.932	22
Australia	Ian Dyk	12	+47.983	17
USA	Buddy Rice	12	+48.208	19
