Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Alberta	Kevin Martin	11	0	86	52	50	40	11	11	89
Saskatchewan	Pat Simmons	9	2	80	58	50	45	9	12	84
Ontario	Glenn Howard	9	2	85	50	54	33	11	22	88
British Columbia	Bob Ursel	7	4	72	66	45	47	15	11	84
Newfoundland and Labrador	Brad Gushue	7	4	77	69	51	44	13	14	82
Manitoba	Kerry Burtnyk	6	5	59	66	47	40	2	19	79
Quebec	Jean-Michel Ménard	4	7	76	69	48	48	11	15	80
Northern Ontario	Eric Harnden	3	8	65	80	43	53	6	6	79
Prince Edward Island	Peter Gallant	3	8	61	78	40	50	6	7	77
Nova Scotia	Brian Rafuse	3	8	60	92	42	56	8	3	77
New Brunswick	James Grattan	2	9	71	86	46	54	7	5	79
