Week	Date	Opponent	Result	Attendance
1	September 30, 1956	at Chicago Cardinals	L 9–7	20,966
2	October 6, 1956	at Pittsburgh Steelers	W 14–10	35,398
3	October 14, 1956	New York Giants	L 21–9	60,042
4	October 21, 1956	at Washington Redskins	L 20–9	23,322
5	October 28, 1956	Pittsburgh Steelers	L 24–16	50,358
6	November 4, 1956	at Green Bay Packers	W 24–7	28,590
7	November 11, 1956	Baltimore Colts	L 21–7	42,404
8	November 18, 1956	at Philadelphia Eagles	W 16–0	25,894
9	November 25, 1956	Washington Redskins	L 20–17	22,878
10	December 2, 1956	Philadelphia Eagles	W 17–14	20,645
11	December 9, 1956	at New York Giants	W 24–7	27,707
12	December 16, 1956	Chicago Cardinals	L 24–7	25,312
