Date	Tournament	Winning score	Margin of victory	Runner(s)-up
8 Oct 2000	Kolon Cup Korean Open	–10 (70-69-69-70=278)	1 stroke	Craig Kamps
18 Mar 2001	Wills Indian Open	–17 (67-69-69-66=271)	1 stroke	Ross Bain
10 Feb 2002	London Myanmar Open	–11 (69-70-69-69=277)	Playoff	Edward Loar
14 Dec 2003	Volvo Masters of Asia	–19 (71-64-65-65=265)	1 stroke	Lin Keng-chi
15 Feb 2004	London Myanmar Open	–12 (69-72-66-69=276)	3 strokes	Andrew Pitts
22 Feb 2004	Carlsberg Malaysian Open 1	–14 (71-71-64-68=274)	2 strokes	Brad Kennedy
20 Feb 2005	Carlsberg Malaysian Open 1	–21 (64-66-67-70=267)	3 strokes	Jyoti Randhawa
17 Dec 2006	Volvo Masters of Asia	–11 (68-68-69-72=277)	1 stroke	Frankie Miñoza
7 Dec 2008	Hana Bank Vietnam Masters	–15 (67-69-70-67=273)	Playoff	Rhys Davies , Andrew Dodt
14 Dec 2008	Johnnie Walker Cambodian Open	–24 (68-66-64-66=264)	6 strokes	Lam Chih Bing
1 Mar 2009	Enjoy Jakarta Indonesia Open 1	–12 (71-69-67-69=276)	2 strokes	Simon Dyson , Alexander Norén , Steve Webster
26 Apr 2009	Ballantine's Championship 1	–4 (66-71-77-70=280)	Playoff	Gonzalo Fernández-Castaño , Kang Sung-hoon
12 Dec 2010	Johnnie Walker Cambodian Open	–21 (70-67-65-65=267)	4 strokes	Kenichi Kuboya
