Pick	Player	Team	Position	Hometown/School
1	Darin Erstad	California Angels	OF	University of Nebraska
2	Ben Davis	San Diego Padres	C	Malvern, PA
3	José Cruz, Jr.	Seattle Mariners	OF	Rice University
4	Kerry Wood	Chicago Cubs	RHP	Grand Prairie, TX
5	Ariel Prieto	Oakland Athletics	RHP	Palm Springs, CA
6	Jamie Jones	Florida Marlins	OF	San Diego, CA
7	Jonathan Johnson	Texas Rangers	RHP	Florida State University
8	Todd Helton	Colorado Rockies	1B	University of Tennessee
9	Geoff Jenkins	Milwaukee Brewers	OF	University of Southern California
10	Chad Hermansen	Pittsburgh Pirates	SS	Henderson, NV
11	Mike Drumright	Detroit Tigers	RHP	Wichita State University
12	Matt Morris	St. Louis Cardinals	RHP	Seton Hall University
13	Mark Redman	Minnesota Twins	LHP	University of Oklahoma
14	Reggie Taylor	Philadelphia Phillies	OF	Newberry, SC
15	Andy Yount	Boston Red Sox	RHP	Kingwood, TX
16	Joe Fontenot	San Francisco Giants	RHP	Lafayette, LA
17	Roy Halladay	Toronto Blue Jays	RHP	Golden, CO
18	Ryan Jaroncyk	New York Mets	SS	Escondido, CA
19	Juan Lebron	Kansas City Royals	OF	Arroyo, Puerto Rico
20	David Yocum	Los Angeles Dodgers	LHP	Florida State University
21	Alvie Shepherd	Baltimore Orioles	RHP	University of Nebraska
22	Tony McKnight	Houston Astros	RHP	Texarkana, AR
23	David Miller	Cleveland Indians	1B	Clemson University
24	Corey Jenkins	Boston Red Sox	OF	Columbia, SC
25	Jeff Liefer	Chicago White Sox	3B	Long Beach State University
26	* Chad Hutchinson	Atlanta Braves	RHP	Encinitas, CA
27	Shea Morenz	New York Yankees	OF	University of Texas at Austin
28	Michael Barrett	Montreal Expos	SS	Pace Academy
29	Chris Haas	St. Louis Cardinals	3B	St. Mary's High School
30	Dave Coggin	Philadelphia Phillies	RHP	Upland High School
