Edition	Round	Date	Surface	Opponent	Result
1991 World Group I	R1	July 22, 1991	Hard	Petra Schmitt	6–1, 6–2
1991 World Group I	R2	July 24, 1991	Hard	Jennifer Capriati	5–7, 2–6
1992 World Group I	R1	July 14, 1992	Clay	Rachel McQuillan	7–6 (7–4) , 6–2
1992 World Group I	RPO	July 16, 1992	Clay	Ruxandra Dragomir	6–0, 6–1
1993 World Group I	R1	July 19, 1993	Clay	Park Sung-hee	6–0, 6–4
1993 World Group I	R2	July 21, 1993	Clay	Florencia Labat	6–4, 5–7, 6–3
1994 World Group I	R1	July 19, 1994	Clay	Iva Majoli	6–3, 4–6, 4–6
1994 World Group I	R2	July 21, 1994	Clay	Yayuk Basuki	6–3, 6–3
1994 World Group I	QF	July 22, 1994	Clay	Mary Pierce	6–7 (6–8) , 6–4, 6–4
1995 World Group I	QF	April 22, 1995	Carpet (I)	Conchita Martínez	2–6, 4–6
1995 World Group I	QF	April 23, 1995	Carpet (I)	Arantxa Sánchez Vicario	6–3, 6–3
1998 Europe/Africa Group I	RR	April 14, 1998	Clay	Raluca Sandu	1–6, 3–6
1998 Europe/Africa Group I	RR	April 15, 1998	Clay	Mariaan de Swardt	1–6, 5–7
1998 Europe/Africa Group I	RR	April 16, 1998	Clay	Elena Krutko	6–7 (2–7) , 6–1, 1–6
2002 Europe/Africa Group I	RR	April 24, 2002	Clay	Angela Cardoso	6–0, 6–0
2002 Europe/Africa Group I	RR	April 25, 2002	Clay	Salome Devidze	6–1, 6–3
2002 Europe/Africa Group I	RR	April 26, 2002	Clay	Kaia Kanepi	6–4, 6–2
2002 Europe/Africa Group I	PPO	April 27, 2002	Clay	Yuliya Beygelzimer	3–6, 4–6
2003 Europe/Africa Group I	RR	April 21, 2003	Clay	Margalita Chakhnashvili	6–3, 6–1
2003 Europe/Africa Group I	RR	April 23, 2003	Clay	Jelena Janković	6–2, 3–6, 6–2
2003 Europe/Africa Group I	RR	April 24, 2003	Clay	Anna Smashnova	7–5, 6–4
2005 Europe/Africa Group I	RR	April 20, 2005	Clay	Natalie Grandin	6–4, 6–3
2005 Europe/Africa Group I	RR	April 21, 2005	Clay	Zsófia Gubacsi	7–6 (7–4) , 6–2
2005 Europe/Africa Group I	PPO	April 23, 2005	Clay	Michaëlla Krajicek	4–6, 6–3, 6–2
2005 World Group II Play-offs	PO	July 9, 2005	Hard (I)	Aiko Nakamura	3–6, 6–4, 6–3
2005 World Group II Play-offs	PO	July 10, 2005	Hard (I)	Akiko Morigami	6–7 (3–7) , 3–6
