Title	Release date	Format	Code	UK Singles Chart	US Modern Rock	Album
Mad Love EP	26 February 1990	12"/CD/C	BAD 0003	55	–	–
"Sweetness and Light"	15 October 1990	7"/12"/CD/C	BAD 0013	47	4	Gala
"De-Luxe"	March 1991	Radio promo CD	PRO-CD-4662	–	14	Gala
"Nothing Natural"/Black Spring EP	7 October 1991	7"/C//12"/CD	BAD 1016	43	–	Spooky
"Nothing Natural"	29 October 1991	CD	9 40231-2 (US only)	–	22	Spooky
"For Love"	30 December 1991	10"/12"/CD/C	BAD 2001	35	9	Spooky
"Superblast!"	February 1992	Radio promo CD	PRO-CD-5471	–	–	Spooky
"Hypocrite"	30 May 1994	7"/12"/CD	BAD 4008	52	–	Split
"Desire Lines"	30 May 1994	7"/12"/CD	BAD 4010	60	–	Split
"Single Girl"	8 January 1996	7"/2xCD 1	BAD 6001	21	–	Lovelife
"Ladykillers"	26 February 1996	7"/2xCD 1	BAD 6002	22	18	Lovelife
"500 (Shake Baby Shake)"	15 July 1996	7"/2xCD 1	BAD 6009	21	–	Lovelife
