Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winner	1969	Buenos Aires, Argentina	Clay	Jaime Fillol	Roy Emerson Frew McMillan	W/O
Winner	1970	South Orange, U.S.	Hard	Jaime Fillol	Andrés Gimeno Rod Laver	3–6, 7–6, 7–6
Runner-up	1971	Bournemouth, England	Clay	Jaime Fillol	Bill Bowrey Owen Davidson	6–8, 2–6, 6–3, 6–4, 3–6
Runner-up	1971	Buenos Aires, Argentina	Clay	Jaime Fillol	Željko Franulović Ilie Năstase	4–6, 4–6
Winner	1972	Caracas, Venezuela	Hard	Jaime Fillol	Jim McManus Manuel Orantes	6–4, 6–3, 7–6
Runner-up	1972	Brussels, Belgium	Clay	Jaime Fillol	Juan Gisbert Manuel Orantes	7–9, 3–6
Runner-up	1972	French Open, Paris	Clay	Jaime Fillol	Bob Hewitt Frew McMillan	3–6, 6–8, 6–3, 1–6
Runner-up	1972	Indianapolis, U.S.	Clay	Jaime Fillol	Bob Hewitt Frew McMillan	2–6, 3–6
Runner-up	1973	Buenos Aires, Argentina	Clay	Iván Molina	Ricardo Cano Guillermo Vilas	6–7, 3–6
Runner-up	1974	Washington D.C., U.S.	Clay	Jaime Fillol	Tom Gorman Marty Riessen	5–7, 1–6
Runner-up	1974	U.S. Open, New York	Grass	Jaime Fillol	Robert Lutz Stan Smith	3–6, 3–6
Runner-up	1974	Buenos Aires, Argentina	Clay	Jaime Fillol	Manuel Orantes Guillermo Vilas	4–6, 3–6
Winner	1975	Charlotte, U.S.	Clay	Jaime Fillol	Ismail El Shafei Brian Fairlie	6–3, 5–7, 6–4
Winner	1976	Berlin, Germany	Hard	Julien Munoz	Jürgen Fassbender Hans-Jürgen Pohmann	7–5, 6–1
Winner	1976	Santiago, Chile	Clay	Hans Gildemeister	Lito Álvarez Belus Prajoux	6–3, 7–6
Runner-up	1977	Murcia, Spain	Clay	Hans Gildemeister	Patrice Dominguez François Jauffret	5–7, 2–6
Winner	1977	Indianapolis, U.S.	Clay	Jaime Fillol	Dick Crealy Cliff Letcher	6–7, 6–4, 6–3
Winner	1977	Santiago, Chile	Clay	Jaime Fillol	Henry Bunis Paul McNamee	5–7, 6–1, 6–1
