Week	Date	Opponent	Result	Attendance
1	September 12, 1965	at Oakland Raiders	L 37–10	18,659
2	September 18, 1965	at New York Jets	W 14–10	53,658
3	September 26, 1965	at San Diego Chargers	T 10–10	28,126
4	October 3, 1965	Boston Patriots	W 27–17	26,773
5	October 10, 1965	at Denver Broncos	W 31–23	31,001
6	October 17, 1965	Buffalo Bills	L 23–7	26,941
7	October 24, 1965	at Houston Oilers	L 38-36	34,670
8	October 31, 1965	Oakland Raiders	W 14–7	18,354
9	November 7, 1965	New York Jets	L 13–10	25,523
10	November 14, 1965	San Diego Chargers	W 31–7	21,968
11	November 21, 1965	at Boston Patriots	T 10-10	13,056
12	November 28, 1965	Houston Oilers	W 52–21	16,459
13	Bye	Bye	Bye	Bye
14	December 12, 1965	at Buffalo Bills	L 34–25	40,298
15	December 19, 1965	Denver Broncos	W 45–35	14,421
