Japanese Title	Romaji Title	TV Station	Theme Song(s)	Episodes	Average Ratings
恋におちたら～僕の成功の秘密～	Koi ni Ochitara ~Boku no Seikou no Himitsu~	Fuji TV	Crystal Kay "恋におちたら" (Koi ni Ochitara)	11	16.3%
離婚弁護士II～ハンサムウーマン～	Rikon Bengoshi II ~Handsome Woman~	Fuji TV	Hoshimura Mai "EVERY"	11	13.2%
エンジン	ENGINE	Fuji TV	Jimmy Cliff "I Can See Clearly Now"	11	22.4%
曲がり角の彼女	Magarikado no Kanojo	Fuji TV	shela "Dear my friends"	11	14.5%
夢で逢いましょう	Yume de Aimashou	TBS	Yumi Matsutouya "ついてゆくわ" (Tsuiteyuku wa)	11	11.6%
汚れた舌	Kegareta Shita	TBS	dorlis "肌のすきま" (Hada no Sukima)	11	10.0%
あいくるしい	Ai Kurushii	TBS	Michael Jackson " Ben "	11	11.6%
タイガー&ドラゴン	Tiger & Dragon	TBS	V6 "UTAO-UTAO"	11	12.8%
雨と夢のあとに	Ame to Yume no Ato ni	TV Asahi	Miwako Okuda "雨と夢のあとに" (Ame to Yume no Ato ni)	10	9.8%
アタックNo.1	Attack No.1	TV Asahi	Aya Ueto "夢のチカラ" (Yume no Chikara)	11	13.1%
瑠璃の島	Ruri no Shima	NTV	Kobukuro "ここにしか咲かない花" (Koko ni Shika Sakanai Hana)	10	12.6%
