Week	Date	Opponent	Result	Attendance
1	September 2, 1979	at Seattle Seahawks	W 33–16	62,887
2	September 9, 1979	Oakland Raiders	W 30–10	50,255
3	September 16, 1979	Buffalo Bills	W 27–19	50,709
4	September 23, 1979	at New England Patriots	L 27–21	60,916
5	September 30, 1979	San Francisco 49ers	W 31–9	50,893
6	October 7, 1979	at Denver Broncos	L 7–0	74,997
7	October 14, 1979	Seattle Seahawks	W 20–10	50,077
8	October 21, 1979	at Los Angeles Rams	W 40–16	64,245
9	October 25, 1979	at Oakland Raiders	L 45–12	53,709
10	November 4, 1979	at Kansas City Chiefs	W 20–14	59,353
11	November 11, 1979	at Cincinnati Bengals	W 26–24	40,782
12	November 18, 1979	Pittsburgh Steelers	W 35–7	51,910
13	November 25, 1979	Kansas City Chiefs	W 28–7	50,078
14	December 2, 1979	Atlanta Falcons	L 28–26	50,198
15	December 9, 1979	at New Orleans Saints	W 35–0	61,059
16	December 17, 1979	Denver Broncos	W 17–7	51,906
