Manufacturer	Model	Quantity	Introduced	Retired
Douglas	C-54 Skymaster	6	1947	1966
Douglas	C-47 Dakota	2	1947	1964
de Havilland	DH.114 Heron	7	1952	1960
Fokker	F-27 Friendship	8	1958	1977
Douglas	DC-6A/C	1	1961	1965
Douglas	DC-6B	7	1962	1973
Fokker	F-28 Fellowship	6	1969	1986
Boeing	737-200	20	1969	1994
Boeing	767-200	2	1984	1986
Boeing	737-400	7	1989	2004
Boeing	737-500	17	1990	2004
Fokker	100	5	1997	1999
Boeing	737-300	1	1997	1999
Boeing	737-700	13	1998	2004
British Aerospace	146–200	10	1998	2001
