Year	Number	Team	Co-driver	Position	Laps
1999	35	Garry Rogers Motorsport	Greg Ritter	9th	160
2000	76	Matthew White Racing	Matthew White	24th	143
2001	14	Imrie Motorsport	James Brock	DNF	12
2002	600	Briggs Motor Sport	Dale Brede	17th	158
2003	13	Robert Smith Racing	Phillip Scifleet	21st	141
2004	51	K-mart Racing Team	Tim Leahey	8th	160
2005	25	Britek Motorsport	Matthew White	DNF	136
2006	55	Autobarn Racing	Tony Longhurst	7th	161
2007	55	Autobarn Racing	Tony D'Alberto	6th	161
2008	17	Jim Beam Racing	Warren Luff	11th	161
2009	10	Team Autobarn	Shane Price	16th	160
2010	1	Team Vodafone	Jamie Whincup	2nd	161
2011	49	VIP Petfoods Racing	Paul Morris	11th	161
2012	49	VIP Petfoods Racing	Paul Morris	DNF	53
2013	6	Ford Performance Racing	Will Davison	7th	161
