Fin. Pos	Car No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	9	Scott Dixon	Target Chip Ganassi	85	1:47:24.2663	6	29	50
2	27	Dario Franchitti	Andretti Green	85	+2.6917	5	6	40
3	3	Hélio Castroneves	Team Penske	85	+8.6783	1	37	35+3
4	11	Tony Kanaan	Andretti Green	85	+8.9611	3	13	32
5	7	Danica Patrick	Andretti Green	85	+25.2578	2	0	30
6	14	Darren Manning	A.J. Foyt Racing	85	+30.4606	8	0	28
7	17	Ryan Hunter-Reay	Rahal Letterman	85	+44.5001	10	0	26
8	15	Buddy Rice	Dreyer & Reinbold Racing	85	+49.9197	9	0	24
9	2	Tomas Scheckter	Vision Racing	85	+54.5332	12	0	22
10	10	Dan Wheldon	Target Chip Ganassi	85	+55.1833	11	0	20
11	8	Scott Sharp	Rahal Letterman	84	+1 Lap	15	0	19
12	55	Kosuke Matsuura	Panther Racing	84	+1 Lap	13	0	18
13	22	A. J. Foyt IV	Vision Racing	84	+1 Lap	14	0	17
14	6	Sam Hornish, Jr.	Team Penske	84	+1 Lap	7	0	16
15	5	Sarah Fisher	Dreyer & Reinbold Racing	83	+2 Laps	17	0	15
16	20	Ed Carpenter	Vision Racing	82	+3 Laps	16	0	14
17	4	Vitor Meira	Panther Racing	54	Mechanical	18	0	13
18	26	Marco Andretti	Andretti Green	0	Collision	4	0	12
Lead changes: 9 between 4 drivers	Lead changes: 9 between 4 drivers	Lead changes: 9 between 4 drivers	Lead changes: 9 between 4 drivers	Lead changes: 9 between 4 drivers	Lead changes: 9 between 4 drivers	Lead changes: 9 between 4 drivers	Lead changes: 9 between 4 drivers	Lead changes: 9 between 4 drivers
