Against	Played	Drawn	Lost	% Won
Albania	2	0	1	50%
Armenia	2	0	0	100%
Austria	6	0	4	33.33%
Belarus	4	0	1	75%
Belgium	4	0	2	50%
Bosnia and Herzegovina	4	0	3	25%
Bulgaria	6	1	4	16.67%
Cyprus	2	1	1	0%
Czech Republic	6	2	3	16.67%
Georgia	10	4	2	40%
Germany	2	0	2	0%
Greece	2	0	0	100%
Hungary	12	3	7	16.67%
Iceland	4	0	1	75%
Ireland	2	0	1	50%
Israel	4	1	2	25%
Latvia	2	1	1	0%
Moldova	8	0	4	50%
Netherlands	2	0	1	50%
Norway	6	1	4	16.67%
Poland	10	1	6	30%
Russia	2	2	0	0%
Serbia	4	1	2	25%
Slovakia	8	3	4	12.5%
Slovenia	2	1	0	50%
Switzerland	2	1	1	0%
Turkey	2	1	1	0%
Total	120	24	58	31.67%
