Date	Visitor	Score	Home	Record
October 9	Columbus Blue Jackets	1–2	Atlanta Thrashers	0–1–0–0
October 11	New York Rangers	0–5	Columbus Blue Jackets	1–1–0–0
October 13	Vancouver Canucks	2–3	Columbus Blue Jackets	2–1–0–0
October 16	Chicago Blackhawks	1–2	Columbus Blue Jackets	3–1–0–0
October 18	Columbus Blue Jackets	2–3	Nashville Predators	3–2–0–0
October 22	Columbus Blue Jackets	1–4	Detroit Red Wings	3–3–0–0
October 23	Tampa Bay Lightning	1–0	Columbus Blue Jackets	3–4–0–0
October 25	Dallas Stars	3–2	Columbus Blue Jackets	3–5–0–0
October 28	Columbus Blue Jackets	3–6	Vancouver Canucks	3–6–0–0
October 30	Columbus Blue Jackets	3–4	Edmonton Oilers	3–6–0–1
November 1	Columbus Blue Jackets	0–3	Calgary Flames	3–7–0–1
November 7	Atlanta Thrashers	2–4	Columbus Blue Jackets	4–7–0–1
November 9	Calgary Flames	3–4	Columbus Blue Jackets	5–7–0–1
November 11	Columbus Blue Jackets	1–1	Montreal Canadiens	5–7–1–1
November 13	Columbus Blue Jackets	2–5	Ottawa Senators	5–8–1–1
November 14	Boston Bruins	4–0	Columbus Blue Jackets	5–9–1–1
November 16	Phoenix Coyotes	2–2	Columbus Blue Jackets	5–9–2–1
November 19	Columbus Blue Jackets	1–5	Detroit Red Wings	5–10–2–1
November 20	Detroit Red Wings	0–3	Columbus Blue Jackets	6–10–2–1
November 22	New York Islanders	1–2	Columbus Blue Jackets	7–10–2–1
November 25	Edmonton Oilers	3–3	Columbus Blue Jackets	7–10–3–1
November 26	Columbus Blue Jackets	2–4	Nashville Predators	7–11–3–1
November 29	Washington Capitals	5–3	Columbus Blue Jackets	7–12–3–1
December 2	Mighty Ducks of Anaheim	1–2	Columbus Blue Jackets	8–12–3–1
December 4	Nashville Predators	4–2	Columbus Blue Jackets	8–13–3–1
December 6	Columbus Blue Jackets	1–5	Colorado Avalanche	8–14–3–1
December 10	Philadelphia Flyers	1–1	Columbus Blue Jackets	8–14–4–1
December 12	St. Louis Blues	3–2	Columbus Blue Jackets	8–14–4–2
December 13	Columbus Blue Jackets	3–5	Pittsburgh Penguins	8–15–4–2
December 16	Columbus Blue Jackets	1–2	St. Louis Blues	8–15–4–3
December 19	Calgary Flames	2–1	Columbus Blue Jackets	8–16–4–3
December 20	Columbus Blue Jackets	2–5	Minnesota Wild	8–17–4–3
December 23	Phoenix Coyotes	2–1	Columbus Blue Jackets	8–18–4–3
December 26	Columbus Blue Jackets	4–1	Chicago Blackhawks	9–18–4–3
December 27	Dallas Stars	4–3	Columbus Blue Jackets	9–19–4–3
December 29	St. Louis Blues	3–2	Columbus Blue Jackets	9–20–4–3
December 31	San Jose Sharks	1–0	Columbus Blue Jackets	9–21–4–3
January 2	Columbus Blue Jackets	2–0	Tampa Bay Lightning	10–21–4–3
January 3	Columbus Blue Jackets	0–1	Florida Panthers	10–22–4–3
January 6	Columbus Blue Jackets	0–6	Colorado Avalanche	10–23–4–3
January 8	Columbus Blue Jackets	3–2	San Jose Sharks	11–23–4–3
January 10	Columbus Blue Jackets	2–2	Los Angeles Kings	11–23–5–3
January 11	Columbus Blue Jackets	2–2	Mighty Ducks of Anaheim	11–23–6–3
January 15	Columbus Blue Jackets	3–5	St. Louis Blues	11–24–6–3
January 16	Los Angeles Kings	2–3	Columbus Blue Jackets	12–24–6–3
January 18	Edmonton Oilers	4–4	Columbus Blue Jackets	12–24–7–3
January 21	St. Louis Blues	1–3	Columbus Blue Jackets	13–24–7–3
January 22	Columbus Blue Jackets	0–7	Chicago Blackhawks	13–25–7–3
January 24	Chicago Blackhawks	3–4	Columbus Blue Jackets	14–25–7–3
January 27	New Jersey Devils	4–3	Columbus Blue Jackets	14–26–7–3
January 29	Nashville Predators	6–4	Columbus Blue Jackets	14–27–7–3
January 31	Minnesota Wild	1–2	Columbus Blue Jackets	15–27–7–3
February 2	Columbus Blue Jackets	3–3	Phoenix Coyotes	15–27–8–3
February 4	Columbus Blue Jackets	0–1	Dallas Stars	15–28–8–3
February 11	Los Angeles Kings	2–3	Columbus Blue Jackets	16–28–8–3
February 12	Columbus Blue Jackets	1–4	Toronto Maple Leafs	16–29–8–3
February 14	San Jose Sharks	2–1	Columbus Blue Jackets	16–29–8–4
February 16	Nashville Predators	2–4	Columbus Blue Jackets	17–29–8–4
