Season	Team	Conference	Head Coach	Record
1959	Syracuse	Independent	Ben Schwartzwalder	11-0
1960	Minnesota	Big Ten	Murray Warmath	8-2
1961	Alabama	SEC	Bear Bryant	11-0
1962	USC	AAWU	John McKay	11-0
1963	Texas	Southwest	Darrell Royal	11-0
1964	Notre Dame	Independent	Ara Parseghian	9-1
1965	Michigan State	Big Ten	Duffy Daugherty	9-1
1966	Michigan State Notre Dame (joint)	Big Ten Independent	Duffy Daugherty Ara Parseghian	8-0-1 9-0-1
1967	USC	AAWU	John McKay	10-1
1968	Ohio State	Big Ten	Woody Hayes	10-0
1969	Texas	Southwest	Darrell Royal	11-0
1970	Ohio State Texas (joint)	Big Ten Southwest	Woody Hayes Darrell Royal	9-1 10-1
1971	Nebraska	Big 8	Bob Devaney	13-0
1972	USC	Pac-8	John McKay	12-0
1973	Notre Dame	Independent	Ara Parseghian	11-0
1974	USC	Pac-8	John McKay	10-1-1
1975	Oklahoma	Big 8	Barry Switzer	11-1
1976	Pittsburgh	Independent	Johnny Majors	12-0
1977	Notre Dame	Independent	Dan Devine	11-1
1978	Alabama	SEC	Bear Bryant	11-1
1979	Alabama	SEC	Bear Bryant	12-0
1980	Georgia	SEC	Vince Dooley	12-0
1981	Clemson	ACC	Danny Ford	12-0
1982	Penn State	Independent	Joe Paterno	11-1
1983	Miami (FL)	Independent	Howard Schnellenberger	11-1
1984	BYU	WAC	LaVell Edwards	12-0
1985	Oklahoma	Big 8	Barry Switzer	11-1
1986	Penn State	Independent	Joe Paterno	12-0
1987	Miami (FL)	Independent	Jimmy Johnson	12-0
1988	Notre Dame	Independent	Lou Holtz	12-0
1989	Miami (FL)	Independent	Dennis Erickson	11-1
1990	Colorado	Big 8	Bill McCartney	11-1-1
1991	Washington	Pac-10	Don James	12-0
1992	Alabama	SEC	Gene Stallings	13-0
1993	Florida State	ACC	Bobby Bowden	12-1
1994	Nebraska	Big 8	Tom Osborne	13-0
1995	Nebraska	Big 8	Tom Osborne	12-0
1996	Florida	SEC	Steve Spurrier	12-1
1997	Michigan	Big Ten	Lloyd Carr	12-0
1998	Tennessee	SEC	Phil Fulmer	13-0
1999	Florida State	ACC	Bobby Bowden	12-0
2000	Oklahoma	Big 12	Bob Stoops	13-0
2001	Miami (FL)	Big East	Larry Coker	12-0
2002	Ohio State	Big Ten	Jim Tressel	14-0
2003	LSU	SEC	Nick Saban	13-1
2004	USC	Pac-10	Pete Carroll	13-0
2005	Texas	Big 12	Mack Brown	13-0
2006	Florida	SEC	Urban Meyer	13-1
2007	LSU	SEC	Les Miles	12-2
2008	Florida	SEC	Urban Meyer	13-1
2009	Alabama	SEC	Nick Saban	14-0
2010	Auburn	SEC	Gene Chizik	14-0
2011	Alabama	SEC	Nick Saban	12-1
2012	Alabama	SEC	Nick Saban	13-1
