Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Runner-up	1990	French Open	Clay	Andrés Gómez	3–6, 6–2, 4–6, 4–6
Runner-up	1990	US Open	Hard	Pete Sampras	4–6, 3–6, 2–6
Runner-up	1991	French Open	Clay	Jim Courier	6–3, 4–6, 6–2, 1–6, 4–6
Winner	1992	Wimbledon	Grass	Goran Ivanišević	6–7 (8–10) , 6–4, 6–4, 1–6, 6–4
Winner	1994	US Open	Hard	Michael Stich	6–1, 7–6 (7–5) , 7–5
Winner	1995	Australian Open	Hard	Pete Sampras	4–6, 6–1, 7–6 (8–6) , 6–4
Runner-up	1995	US Open	Hard	Pete Sampras	4–6, 3–6, 6–4, 5–7
Winner	1999	French Open	Clay	Andrei Medvedev	1–6, 2–6, 6–4, 6–3, 6–4
Runner-up	1999	Wimbledon	Grass	Pete Sampras	3–6, 4–6, 5–7
Winner	1999	US Open	Hard	Todd Martin	6–4, 6–7 (5–7) , 6–7 (2–7) , 6–3, 6–2
Winner	2000	Australian Open	Hard	Yevgeny Kafelnikov	3–6, 6–3, 6–2, 6–4
Winner	2001	Australian Open	Hard	Arnaud Clément	6–4, 6–2, 6–2
Runner-up	2002	US Open	Hard	Pete Sampras	3–6, 4–6, 7–5, 4–6
Winner	2003	Australian Open	Hard	Rainer Schüttler	6–2, 6–2, 6–1
