Date	Track	Event Name	Pole Winner	Race Winner
February 11 (Rain-delayed until February 12)	Daytona International Speedway	Daytona ARCA 200	Bobby Gerhart	Bobby Gerhart
April 15	Nashville Superspeedway	PFG Lester 150	Steve Wallace	Stephen Leicht
April 23	Salem Speedway	Kentuckiana Ford Dealers ARCA 200	Brad Coleman	Billy Venturini
May 7	Winchester Speedway	Winchester ARCA 200	Brett Rowe	Frank Kimmel
May 13	Kentucky Speedway	Harley-Davidson of Cincinnati 150	Steve Wallace	Steve Wallace
May 21	Toledo Speedway	Hantz Group 200	Frank Kimmel	Ken Schrader
June 10	Pocono Raceway	Pocono 200	David Stremme	Chase Miller
June 16	Michigan International Speedway	Hantz Group 200	Chuck Webber	David Stremme
July 1	Kansas Speedway	Kansas Lottery 200 Grand	Brad Coleman	Frank Kimmel
July 7	Kentucky Speedway	Channel 5 150	Erin Crocker	Brad Coleman
July 15	Berlin Raceway	Sara Lee\GFS Marketplace 200	Blake Bjorklund	Brian Keselowski
July 22	Pocono Raceway	Pennsylvania 200	Frank Kimmel	Frank Kimmel
July 28	Gateway International Raceway	Shop 'n Save 150	Chase Miller	Cale Gale
August 12	Nashville Superspeedway	ARCA RE/MAX 200	Brad Coleman	Mario Gosselin
August 18	Michigan International Speedway	Hantz Group 200	Brent Sherman	Brent Sherman
August 20	Illinois State Fair	Allen Crowe Memorial 100	Damon Lusk	Justin Allgaier
August 26	Milwaukee Mile	Governor's Cup 200	Blake Bjorklund	Phil Bozell
September 1	Toledo Speedway	Hantz Group 200	Brian Keselowski	Chuck Barnes Jr.
September 4	DuQuoin State Fairgrounds	Southern Illinois 100	Ken Schrader	Ken Schrader
September 9	Chicagoland Speedway	SK Hand Tool 200	Steve Wallace	Steve Wallace
September 16	Salem Speedway	Eddie Gilstrap Motors ARCA Fall Classic	Dexter Bean	Blake Bjorklund
October 6	Talladega Superspeedway	Food World 250	Bobby Gerhart	Frank Kimmel
October 15	Iowa Speedway	Prairie Meadows 250	Steve Wallace	Steve Wallace
