Outcome	Date	Championship	Surface	Opponent in the final	Score in the final
Winner	1982	Taipei , Taiwan	Carpet	Craig Wittus	6–1, 6–4
Winner	1984	Columbus , U.S.	Hard	Hank Pfister	6–3, 3–6, 6–3
Runner-up	1984	San Francisco , U.S.	Carpet	John McEnroe	4–6, 4–6
Winner	1984	Taipei , Taiwan	Carpet	Wally Masur	6–3, 6–3
Winner	1985	Livingston , U.S.	Hard	Brian Teacher	7–6, 6–4
Winner	1985	Cleveland , U.S.	Hard	Brad Drewett	6–3, 6–2
Runner-up	1985	Stuttgart Outdoor , Germany	Clay	Ivan Lendl	4–6, 0–6
Runner-up	1985	Johannesburg , South Africa	Hard	Matt Anger	4–6, 6–3, 3–6, 2–6
Winner	1985	Tel Aviv , Israel	Hard	Amos Mansdorf	6–3, 6–2
Winner	1986	Memphis , U.S.	Carpet	Stefan Edberg	7–5, 7–6 (7–3)
Winner	1986	Livingston , U.S.	Hard	Mike Leach	6–2, 6–2
Winner	1986	Tel Aviv , Israel	Hard	Aaron Krickstein	7–5, 6–2
Winner	1986	Vienna , Austria	Hard (i)	Karel Nováček	3–6, 6–3, 7–5, 6–0
Runner-up	1987	Washington, D.C. , U.S.	Hard	Ivan Lendl	1–6, 0–6
Winner	1987	Scottsdale , U.S.	Hard	Eliot Teltscher	6–2, 6–2
Runner-up	1987	Tel Aviv , Israel	Hard	Amos Mansdorf	6–3, 3–6, 4–6
Runner-up	1987	Paris Indoor , France	Carpet	Tim Mayotte	6–2, 3–6, 5–7, 7–6 (7–5) , 3–6
Runner-up	1987	Johannesburg , South Africa	Hard (i)	Pat Cash	6–7 (7–9) , 6–4, 6–2, 0–6, 1–6
Winner	1988	Tel Aviv , Israel	Hard	Aaron Krickstein	4–6, 7–6 (7–5) , 6–2
Runner-up	1988	Paris Indoor , France	Carpet	Amos Mansdorf	3–6, 2–6, 3–6
Winner	1989	Memphis , U.S.	Hard (i)	Johan Kriek	6–2, 6–2, ret.
Runner-up	1989	Dallas WCT , U.S.	Carpet	John McEnroe	3–6, 3–6, 6–7 (5–7)
Runner-up	1989	Washington, D.C. , U.S.	Hard	Tim Mayotte	6–3, 4–6, 5–7
Winner	1989	Stratton Mountain , U.S.	Hard	Jim Pugh	7–5, 6–0
Winner	1989	Livingston , U.S.	Hard	Jason Stoltenberg	6–4, 6–4
Winner	1989	Cincinnati , U.S.	Hard	Stefan Edberg	6–4, 2–6, 7–6 (7–5)
Winner	1989	San Francisco , U.S.	Carpet	Anders Järryd	7–5, 6–2
Runner-up	1989	Orlando , U.S.	Hard	Andre Agassi	2–6, 1–6
Winner	1990	Rotterdam , Netherlands	Carpet	Jonas Svensson	6–1, 6–3
Winner	1990	Orlando , U.S.	Hard	Christo van Rensburg	6–2, 6–1
Runner-up	1990	Cincinnati , U.S.	Hard	Stefan Edberg	1–6, 1–6
Winner	1990	Brisbane , Australia	Hard	Aaron Krickstein	6–3, 6–1
Runner-up	1990	Grand Slam Cup , Munich	Carpet	Pete Sampras	3–6, 4–6, 2–6
Runner-up	1991	San Francisco , U.S.	Carpet	Darren Cahill	2–6, 6–3, 4–6
Runner-up	1991	Los Angeles , U.S.	Hard	Pete Sampras	2–6, 7–6 (7–5) , 3–6
Runner-up	1991	Sydney Indoor , Australia	Hard (i)	Stefan Edberg	2–6, 2–6, 2–6
Runner-up	1992	Scottsdale , U.S.	Hard	Stefano Pescosolido	0–6, 6–1, 4–6
Runner-up	1993	San Francisco , U.S.	Hard (i)	Andre Agassi	2–6, 7–6 (7–4) , 2–6
Runner-up	1993	Tokyo Outdoor , Japan	Hard	Pete Sampras	2–6, 2–6, 2–6
Runner-up	1994	Memphis , U.S.	Hard (i)	Todd Martin	4–6, 5–7
