Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1965	Miroslav Pezlar	Vera Perinová	Miroslav Pezlar / Ladislav Rehor	Vera Perinová / Miluse Bilciková	Petr Nadvorník / Vera Perinová
1966	Jan Novotný	Hana Rerichová	Miroslav Pezlar / Ladislav Rehor	Dana Povolná / Milena Kuzelová	Jan Novotný / Hana Rerichová
1967	Ladislav Rehor	Milena Kuzelová	Jan Chmela / Jiří Chmela	Milena Kuzelová / Alexandra Fadrna	Zbynek Schwarz / Jaroslava Krahulcová
1968	Petr Pavel	Jaroslava Krahulcová	Josef Brejcha / Petr Freimann	Jaroslava Krahulcová / Anna Skodová	Petr Freimann / Benediktová
1969	Petr Pavel	Jaroslava Krahulcová	Tomas Dohnal / Petr Pavel	Marie Krkošková / Vera Mydlarová	Petr Pavel / Jaroslava Krahulcová
1970	Petr Pavel	Marie Krkošková	Zdenek Kozesnik / Josef Kraus	Jaroslava Krahulcová / Anna Skodová	Petr Pavel / Jaroslava Krahulcová
1971	Miroslav Šrámek	Marie Krkošková	Zdenek Kozesnik / Mojmir Skalický	Marie Krkošková / Olga Zrnová	Mojmir Skalicky / Marie Krkošková
1972	Miroslav Šrámek	Marie Krkošková	Miroslav Šrámek / Ales Guttenberger	Tatjana Pravdová / Olga Zrnová	Miroslav Šrámek / Olga Zrnová
1973	Karel Myskovsky	Marie Krkošková	J. Reis / J. Vachna	Marie Krkošková / Jitka Trminková	Karel Myskovsky / Marie Krkošková
1974	Karel Lakomý	Maria Holobradá	Karel Lakomý / Vladimir Janda	Maria Holobradá / Helena Turcinková	Vladimir Janda / Helena Turcinková
1975	Karel Lakomý	Helena Turcinková	Karel Lakomý / Vladimir Janda	Helena Turcinková / Buresová	Karel Lakomý / Zuzana Valečková
1976	Michal Malý	Jirina Hubertová	Vladimir Janda / Lubos Sedlak	Helena Turcinková / Jirina Hubertová	Michal Malý / Zuzana Valečková
1977	Michal Malý	Zuzana Valečková	Michal Malý / Ladislav Tandler	Milena Hamralová / Zuzana Valečková	Michal Malý / Zuzana Valečková
1978	Ladislav Tandler	Alena Nejedlová	Juraj Lenart / Ladislav Tandler	Milena Hamralová / Alena Nejedlová	Ladislav Tandler / Alena Nejedlová
1979	Lubomir Cechovský	Alena Nejedlová	Petr Cech / Vladimir Hrubý	Eliška Klučková / Alena Nejedlová	Stanislav Kraus / Alena Nejedlová
1980	Richard Hobzik	Eliška Klučková	Radek Goldmann / Richard Hobzik	Sona Karwaczyková / Eliška Klučková	Richard Hobzik / Eliška Klučková
1981	Richard Hobzik	Jitka Cuprová	Jiří Dufek / Richard Hobzik	Irena Ferencová / Yweta Trminková	Richard Hobzik / Jitka Cuprová
1982	Jiří Dufek	Irena Ferencová	Jiří Dufek / Tomas Zapletal	Jaroslava Balcarová / Irena Ferencová	Jiří Dufek / Irena Ferencová
1983	Roman Janostik	Jaroslava Balcarová	Jiří Hlavaty / Pavel Kubis	Jaroslava Balcarová / Jana Drapaková	Jiří Hlavaty / Radka Viktorinová
1984	Radek Heger	Jaroslava Balcarová	Radek Heger / Roman Janostik	Jaroslava Balcarová / Jana Mrstinová	Jaroslav Hawlik / Jaroslava Balcarová
1985	Tomasz Mendrek	Jitka Lacinová	Pavel Brazda / Tomasz Mendrek	Radka Viktorinová / Jitka Lacinová	Tomasz Mendrek / Radka Viktorinová
1986	Tomasz Mendrek	Jitka Lacinová	Radek Svoboda / Tomasz Mendrek	Eva Lacinová / Jitka Lacinová	Tomasz Mendrek / Jitka Lacinová
1987	Radek Svoboda	Jitka Lacinová	Radek Svoboda / Martin Vrkoslav	Eva Lacinová / Jitka Lacinová	Martin Vrkoslav / Jitka Lacinová
1988	Martin Kulhavy	Eva Lacinová	Radek Gregor / Jan Jurka	Eva Lacinová / Dana Matoušková	Jan Doucha / Eva Lacinová
1989	Petr Janda	Veronika Vopalenska	Petr Janda / Petr Horsky	Petra Hlubučková / Dana Matoušková	Petr Janda / Dana Matoušková
1990	Petr Janda	Veronika Vopalenska	Petr Janda / Daniel Gaspar	Veronika Vopalenska / Diana Stadniková	Ladislav Oros / Eva Melounová
1991	Martin Skoupil	Marketa Koudelková	Jan Lanik / Pavel Weigner	Marketa Koudelková / Zuzana Kalivodová	Igor Paar / Zuzana Kalivodová
1992	Jan Kostelecký	Marketa Koudelková	Jan Kostelecký / Jan Panos	Marketa Koudelková / Zuzana Kalivodová	Martin Panos / Zuzana Kalivodová
