Week	Date	Opponent	Result	Attendance
1	September 12, 1999	Carolina Panthers	W 19-10	58,166
2	September 19, 1999	at San Francisco 49ers	L 21-28	67,685
3	Bye	Bye	Bye	Bye
4	October 3, 1999	at Chicago Bears	L 10-14	66,944
5	October 10, 1999	Atlanta Falcons	L 17-20	57,289
6	October 17, 1999	Tennessee Titans	L 21-24	51,875
7	October 24, 1999	at New York Giants	L 3-31	77,982
8	October 31, 1999	Cleveland Browns	L 16-21	48,817
9	November 7, 1999	Tampa Bay Buccaneers	L 16-31	47,129
10	November 14, 1999	San Francisco 49ers	W 24-6	52,198
11	November 21, 1999	at Jacksonville Jaguars	L 23-41	69,772
12	November 28, 1999	at St. Louis Rams	L 12-43	65,864
13	December 5, 1999	at Atlanta Falcons	L 12-35	62,568
14	December 12, 1999	St. Louis Rams	L 14-30	46,838
15	December 19, 1999	at Baltimore Ravens	L 8-31	67,597
16	December 24, 1999	Dallas Cowboys	W 31-24	47,835
17	January 2, 2000	at Carolina Panthers	L 13-45	56,929
