Date	Visitor	Score	Home	Leading scorer	Attendance	Record
2007-03-02	Warriors	97–106	Knicks	Al Harrington (26)	19,763	26–34
2007-03-04	Warriors	106–107	Wizards	Jason Richardson (28)	20,173	26–35
2007-03-05	Warriors	111–93	Pistons	Jason Richardson (29)	22,076	27–35
2007-03-07	Nuggets	96–110	Warriors	Baron Davis (22)	19,596	28–35
2007-03-09	Clippers	89–99	Warriors	Baron Davis (25)	18,177	29–35
2007-03-11	Warriors	87–106	Blazers	Al Harrington (16)	14,875	29–36
2007-03-12	Mavericks	100–117	Warriors	Mickaël Piétrus (20)	18,377	30–36
2007-03-16	Timberwolves	86–106	Warriors	Monta Ellis (24)	18,527	31–36
2007-03-17	Warriors	99–98	Sonics	Jason Richardson (23)	15,742	32–36
2007-03-20	Warriors	100–104	Jazz	Al Harrington (27)	19,759	32–37
2007-03-23	Wizards	128–135	Warriors	Baron Davis (34)	19,596	33–37
2007-03-25	Warriors	113–115	Lakers	Monta Ellis (31)	18,997	33–38
2007-03-26	Spurs	126–89	Warriors	Two-Way Tie (17)	18,207	33–39
2007-03-29	Suns	119–124	Warriors	Jason Richardson (36)	19,596	34–39
