Title	Parent magazine	Magazine type	Frequency	Magazine run
CLaCLa	Dengeki Hime	Yaoi manga & light novel	Quarterly	October 30, 2007–April 30, 2008
Dengeki 5pb.	ASCII PC	Video game	One issue	December 24, 2010
Dengeki Black Maoh	Dengeki Maoh	Light novel, manga, video game	Quarterly	September 19, 2007–June 19, 2010
Dengeki Daioh Genesis	Sylph	Manga	Bimonthly	January 19, 2010–November 19, 2012
Dengeki Festival! Heaven	Dengeki G's Magazine	Shōjo manga	One issue	July 9, 2008
Dengeki FPS	Dengeki Girl's Style	Video game	One issue	September 2, 2010
Dengeki G's Festival! Anime	Dengeki G's Magazine	Anime, bishōjo game	Variable	February 9, 2008–September 29, 2009
Dengeki G's Festival! Deluxe	Dengeki G's Magazine	Bishōjo game, eroge	Variable	November 30, 2007–July 16, 2010
Dengeki Games	Dengeki Nintendo	Video game	Monthly	October 13, 2006–May 26, 2011
Dengeki Layers Bible	Dengeki Layers	Cosplay	Variable	March 3, 2009–February 5, 2010
Dengeki PlayStation 3	Dengeki PlayStation	Video game	Variable	May 15, 2009–December 3, 2009
Dengeki PSP	Dengeki PlayStation	Video game	Variable	December 3, 2004–October 21, 2011
Dengeki Scale Modeler	Dengeki Hobby Magazine	Scale model	Bimonthly	July 25, 2007–May 24, 2008
i-mode de Asobu!	Dengeki Maoh	Mobile phone	Bimonthly	March 28, 2001–March 16, 2012
Visualboy Brush	ASCII PC	Pop culture males	Quarterly	November 10, 2008–September 28, 2010
