Tie no	Home team	Score	Away team	Date
1	Enfield	2–3	Crystal Palace	2 January 1982
2	Bournemouth	0–2	Oxford United	2 January 1982
3	Barnet	0–0	Brighton & Hove Albion	2 January 1982
Replay	Brighton & Hove Albion	3–1	Barnet	5 January 1982
4	Burnley	6–1	Altrincham	18 January 1982
5	Watford	1–0	Manchester United	2 January 1982
6	Gillingham	2–1	Oldham Athletic	5 January 1982
7	Leicester City	3–1	Southampton	2 January 1982
8	Notts County	0–6	Aston Villa	5 January 1982
9	Nottingham Forest	1–3	Wrexham	2 January 1982
10	Bolton Wanderers	3–1	Derby County	2 January 1982
11	Wolverhampton Wanderers	1–3	Leeds United	2 January 1982
12	West Bromwich Albion	3–2	Blackburn Rovers	2 January 1982
13	Luton Town	2–1	Swindon Town	2 January 1982
14	Shrewsbury Town	1–0	Port Vale	5 January 1982
15	Doncaster Rovers	2–1	Cambridge United	2 January 1982
16	Newcastle United	1–1	Colchester United	4 January 1982
Replay	Colchester United	3–4	Newcastle United	18 January 1982
17	Tottenham Hotspur	1–0	Arsenal	2 January 1982
18	Manchester City	3–1	Cardiff City	2 January 1982
19	Queens Park Rangers	1–1	Middlesbrough	2 January 1982
Replay	Middlesbrough	2–3	Queens Park Rangers	18 January 1982
20	Barnsley	0–2	Blackpool	5 January 1982
21	Coventry City	3–1	Sheffield Wednesday	2 January 1982
22	West Ham United	2–1	Everton	2 January 1982
23	Millwall	1–6	Grimsby Town	5 January 1982
24	Carlisle United	2–3	Huddersfield Town	23 January 1982
25	Chelsea	0–0	Hull City	18 January 1982
Replay	Hull City	0–2	Chelsea	21 January 1982
26	Scunthorpe United	1–1	Hereford United	6 January 1982
Replay	Hereford United	4–1	Scunthorpe United	20 January 1982
27	Stoke City	0–1	Norwich City	2 January 1982
28	Rotherham United	1–1	Sunderland	2 January 1982
Replay	Sunderland	1–0	Rotherham United	18 January 1982
29	Peterborough United	0–1	Bristol City	6 January 1982
30	Birmingham City	2–3	Ipswich Town	2 January 1982
31	Orient	1–0	Charlton Athletic	2 January 1982
32	Swansea City	0–4	Liverpool	2 January 1982
