Driver	Constructor	Laps	Time/Retired	Grid
Eddie Irvine	Ferrari	56	1:36:38.494	2
Michael Schumacher	Ferrari	56	+1.040	1
Mika Häkkinen	McLaren - Mercedes	56	+9.743	4
Johnny Herbert	Stewart - Ford	56	+17.538	5
Rubens Barrichello	Stewart - Ford	56	+32.296	6
Heinz-Harald Frentzen	Jordan - Mugen-Honda	56	+34.884	14
Jean Alesi	Sauber - Petronas	56	+54.408	15
Alexander Wurz	Benetton - Playlife	56	+1:00.934	7
Marc Gené	Minardi - Ford	55	+1 Lap	19
Alessandro Zanardi	Williams - Supertec	55	+1 Lap	16
Giancarlo Fisichella	Benetton - Playlife	52	+4 Laps	11
Jacques Villeneuve	BAR - Supertec	48	Hydraulics	10
Pedro Diniz	Sauber - Petronas	44	Spun off	17
Pedro de la Rosa	Arrows	30	Engine	20
Luca Badoer	Minardi - Ford	15	Spun off	21
David Coulthard	McLaren - Mercedes	14	Fuel pressure	3
Ralf Schumacher	Williams - Supertec	7	Spun off	8
Toranosuke Takagi	Arrows	7	Transmission	22
Ricardo Zonta	BAR - Supertec	6	Engine	13
Olivier Panis	Prost - Peugeot	5	Engine	12
Damon Hill	Jordan - Mugen-Honda	0	Collision	9
Jarno Trulli	Prost - Peugeot	0	Engine	18
