No. in series	No. in season	Title	Directedby	Writtenby	Originalairdate	Production code	U.S. viewers (million)
40	1	"Out"	Paris Barclay	Kurt Sutter	September6,2011	4WAB01	4.93
41	2	"Booster"	Guy Ferland	Dave Erickson & Chris Collins	September13,2011	4WAB02	3.71
42	3	"Dorylus"	Peter Weller	Regina Corrado & Liz Sagal	September20,2011	4WAB03	3.42
43	4	"Una Venta"	Billy Gierhart	Kurt Sutter & Marco Ramirez	September27,2011	4WAB04	3.28
44	5	"Brick"	Paris Barclay	Dave Erickson & Brady Dahl	October4,2011	4WAB05	3.51
45	6	"With an X"	Guy Ferland	Chris Collins & Regina Corrado	October11,2011	4WAB06	3.56
46	7	"Fruit for the Crows"	Gwyneth Horder-Payton	Kurt Sutter & Liz Sagal	October18,2011	4WAB07	3.65
47	8	"Family Recipe"	Paul Maibaum	Dave Erickson & Brady Dahl	October25,2011	4WAB08	3.82
48	9	"Kiss"	Billy Geirhart	Regina Corrado & Marco Ramirez	November1,2011	4WAB09	3.63
49	10	"Hands"	Peter Weller	Chris Collins & David Labrava & Kurt Sutter	November8,2011	4WAB10	3.93
50	11	"Call of Duty"	Gwyneth Horder-Payton	Liz Sagal & Gladys Rodriguez	November15,2011	4WAB11	4.23
51	12	"Burnt and Purged Away"	Paris Barclay	Kurt Sutter & Dave Erickson	November22,2011	4WAB12	3.85
52	13	"To Be - Act 1"	Kurt Sutter	Kurt Sutter & Chris Collins	November29,2011	4WAB13	4.42
