Name	Round	Overall Pick	Year	Team
Morris Udall	…	…	1948	Denver Nuggets ( NBL )
Lincoln Richmond	…	…	1948	Ft. Wayne Pistons
Leon Blevins	7	79	1950	Indianapolis Olympians
Leo Johnson	5	44	1951	Ft. Wayne Pistons
Roger Johnson	…	…	1952	Milwaukee Hawks
Ernie McCray	17	95	1960	Cincinnati Royals
Warren Rustand	4	31	1965	San Francisco Warriors
Bill Davis	12	160	1968	Phoenix Suns
Michael Foster	…	…	1970	Indiana Pacers ( ABA )
Tom Lee	9	147	1971	Philadelphia 76ers
Eddie Myers	10	160	1971	Baltimore Bullets ( Miami Floridians (ABA))
Bill Warner	11	170	1971	Buffalo Braves ( New York Nets (ABA))
Bruce Anderson	7	101	1972	Detroit Pistons
Eric Money	2	33	1974	Detroit Pistons ( Denver Nuggets (ABA))
Coniel Norman	3	37	1974	Philadelphia 76ers (Denver Nuggets (ABA))
Al Fleming	2	30	1976	Phoenix Suns
James Rappis	5	77	1976	Milwaukee Bucks
Bob Elliott	2	42	1977	Philadelphia 76ers
Herman Harris	2	43	1977	Philadelphia 76ers
Jerome Gladney	8	164	1977	San Antonio Spurs
Phil Taylor	10	198	1978	Denver Nuggets
Larry Demic	1	9	1979	New York Knicks
Joe Nehls	7	152	1980	Houston Rockets
Ron Davis	4	79	1981	Washington Bullets
Robbie Dosty	6	148	1981	Golden State Warriors
Frank Smith	8	177	1983	Portland Trail Blazers
Leon Wood	1	10	1984	Philadelphia 76ers
Pete Williams	4	89	1985	Denver Nuggets
Eddie Smith	7	158	1985	Denver Nuggets
Tom Tolbert	2	34	1988	Charlotte Hornets
Steve Kerr	2	50	1988	Phoenix Suns
Sean Elliott	1	3	1989	San Antonio Spurs
Anthony Cook	1	24	1989	Phoenix Suns
Jud Buechler	2	38	1990	Seattle SuperSonics
Brian Williams	1	10	1991	Orlando Magic
Sean Rooks	2	30	1992	Dallas Mavericks
Chris Mills	1	22	1993	Cleveland Cavaliers
Ed Stokes	2	35	1993	Miami Heat
Khalid Reeves	1	12	1994	Miami Heat
Damon Stoudamire	1	7	1995	Toronto Raptors
Joseph Blair	2	35	1996	Seattle SuperSonics
Ben Davis	2	43	1996	Phoenix Suns
Reggie Geary	2	56	1996	Cleveland Cavaliers
Mike Bibby	1	2	1998	Vancouver Grizzlies
Michael Dickerson	1	14	1998	Houston Rockets
Miles Simon	2	42	1998	Orlando Magic
Jason Terry	1	10	1999	Atlanta Hawks
A. J. Bramlett	2	39	1999	Cleveland Cavaliers
Richard Jefferson	1	13	2001	Houston Rockets
Gilbert Arenas	2	31	2001	Golden State Warriors
Michael Wright	2	39	2001	New York Knicks
Loren Woods	2	46	2001	Minnesota Timberwolves
Luke Walton	2	32	2003	Los Angeles Lakers
Andre Iguodala	1	9	2004	Philadelphia 76ers
Channing Frye	1	8	2005	New York Knicks
Salim Stoudamire	2	31	2005	Atlanta Hawks
Hassan Adams	2	54	2006	New Jersey Nets
Marcus Williams	2	33	2007	San Antonio Spurs
Jerryd Bayless	1	11	2008	Indiana Pacers
Jordan Hill	1	8	2009	New York Knicks
Chase Budinger	2	44	2009	Detroit Pistons
Derrick Williams	1	2	2011	Minnesota Timberwolves
Solomon Hill	1	23	2013	Indiana Pacers
Grant Jerrett	2	40	2013	Portland Trail Blazers
