Pick	Player	Team	Position	School
1	Joe Mauer	Minnesota Twins	C	St. Paul, MN ( Cretin-Derham Hall HS )
2	Mark Prior	Chicago Cubs	RHP	University of Southern California
3	Dewon Brazelton	Tampa Bay Devil Rays	RHP	Middle Tennessee State University
4	Gavin Floyd	Philadelphia Phillies	RHP	Baltimore, MD ( Mount Saint Joseph College )
5	Mark Teixeira	Texas Rangers	3B	Georgia Tech
6	Josh Karp	Montreal Expos	RHP	University of California
7	Chris Smith	Baltimore Orioles	LHP	Cumberland University
8	John Van Benschoten	Pittsburgh Pirates	RHP	Kent State University
9	Colt Griffin	Kansas City Royals	RHP	Marshall, TX
10	Chris Burke	Houston Astros	SS	University of Tennessee
11	Kenny Baugh	Detroit Tigers	RHP	Rice University
12	Mike Jones	Milwaukee Brewers	RHP	Phoenix, AZ
13	Casey Kotchman	Anaheim Angels	1B	Seminole, FL
14	Jake Gautreau	San Diego Padres	1B-3B	Tulane University
15	Gabe Gross	Toronto Blue Jays	LF	Auburn University
16	Kris Honel	Chicago White Sox	RHP	Bourbonnais, IL ( Providence Catholic HS )
17	Dan Denham	Cleveland Indians	RHP	Antioch, CA
18	Aaron Heilman	New York Mets	RHP	University of Notre Dame
19	Mike Fontenot	Baltimore Orioles	2B	Louisiana State University
20	Jeremy Sowers	Cincinnati Reds	LHP	Louisville, KY
21	Brad Hennessey	San Francisco Giants	RHP	Youngstown State University
22	Jason Bulger	Arizona Diamondbacks	RHP	Valdosta State University
23	John-Ford Griffin	New York Yankees	RF	Florida State University
24	Macay McBride	Atlanta Braves	LHP	Sylvania, GA
25	Bobby Crosby	Oakland Athletics	SS	Long Beach State
26	Jeremy Bonderman	Oakland Athletics	RHP	Pasco, WA
27	William Horne	Cleveland Indians	RHP	Marianna, FL
28	Justin Pope	St. Louis Cardinals	RHP	University of Central Florida
29	Josh Burrus	Atlanta Braves	SS	Marietta, GA
30	Noah Lowry	San Francisco Giants	LHP	Pepperdine University
