Date	Tournament	Winning score	Margin of victory	Runner(s)-up
26 Aug 2001	Gleneagles Scottish PGA Championship	−14 (69-69-67-69=274)	1 stroke	Alex Čejka
9 Feb 2003	ANZ Championship	45 pts (8-10-21-6=45)	4 points	Stuart Appleby , Nick O'Hern
11 May 2003	Benson & Hedges International Open	−11 (71-69-66-71=277)	4 strokes	Pádraig Harrington
20 Mar 2005	TCL Classic 1	−22 (64-68-68-66=266)	Playoff	Paul McGinley
27 Nov 2005	Volvo China Open 1	−13 (71-69-70-65=275)	Playoff	Oliver Wilson
25 Jun 2006	Johnnie Walker Championship at Gleneagles	−16 (67-71-66-72=276)	1 stroke	Andrew Marshall , Søren Hansen
17 Sep 2006	HSBC World Match Play Championship	10 & 8	10 & 8	Shaun Micheel
21 Jan 2007	Abu Dhabi Golf Championship	−17 (71-68-67-65=271)	1 stroke	Peter Hanson , Miguel Ángel Jiménez
18 Jan 2009	Abu Dhabi Golf Championship	−21 (69-65-63-70=267)	1 stroke	Martin Kaymer , Louis Oosthuizen
24 May 2009	BMW PGA Championship	−17 (69-67-67-68=271)	1 stroke	Ross Fisher
30 Jan 2011	Volvo Golf Champions	−20 (67-67-66-68=268)	1 stroke	Peter Hanson , Miguel Ángel Jiménez
30 Jun 2013	The Irish Open	−14 (68-72-67-67=274)	3 strokes	Joost Luiten , Robert Rock
