Place	Player	Country	Score	To par	Money ( $ )
1	Lee Trevino	United States	69-68-69-69=275	–5	30,000
2	Jack Nicklaus	United States	72-70-70-67=279	–1	15,000
3	Bert Yancey	United States	67-68-70-76=281	+1	10,000
4	Bobby Nichols	United States	74-71-68-69=282	+2	7,500
T5	Don Bies	United States	70-70-75-69=284	+4	5,500
T5	Steve Spray	United States	73-75-71-65=284	+4	5,500
T7	Bob Charles	New Zealand	73-69-72-71=285	+5	3,750
T7	Jerry Pittman	United States	73-67-74-71=285	+5	3,750
T9	Gay Brewer	United States	71-71-75-69=286	+6	2,516
T9	Billy Casper	United States	75-68-71-72=286	+6	2,516
T9	Bruce Devlin	Australia	71-69-75-71=286	+6	2,516
T9	Al Geiberger	United States	72-74-68-72=286	+6	2,516
T9	Sam Snead	United States	73-71-74-68=286	+6	2,516
T9	Dave Stockton	United States	72-73-69-72=286	+6	2,516
