Country	Skip	Third	Second	Lead
Canada	William Dion	Jean-Michel Arsenault	Erik Lachance	Miguel Bernard
China	Zang Jialiang	Wang Zi	Yang Tuo	Chen Lu'an
Czech Republic	Krystof Chaloupek	Michal Vojtus	Martin Hejhal	David Jirounek
Denmark	Rasmus Stjerne	Mikkel Krause	Oliver Dupont	Troels Harry
Germany	Daniel Neuner	Florian Zahler	Johannes Glaser	Dominik Greindl
Norway	Kristian Rolvsfjord	Steffen Walstad	Steffen R. Mellemseter	Markus Snøve Høiberg
Scotland	Glen Muirhead	Scott MacLeod	Scott Andrews	Gordon McDougall
Sweden	Oskar Eriksson	Henric Jonsson	Marcus Franzén	Nils Karlsson
Switzerland	Manuel Ruch	Claudio Pätz	Daniel Graf	Joel Greiner
United States	Chris Plys	Aanders Brorson	Matthew Perushek	Matthew Hamilton
