Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	1985	Bologna , Italy	Clay	Alberto Tous	Paolo Canè Simone Colombo	5–7, 4–6
Winner	1986	Bordeaux , France	Clay	David De Miguel	Ronald Agénor Mansour Bahrami	7–5, 6–4
Winner	1989	Prague , Czechoslovakia	Clay	Horst Skoff	Petr Korda Tomáš Šmíd	6–4, 6–4
Winner	1991	San Marino	Clay	Carlos Costa	Christian Miniussi Diego Pérez	6–3, 3–6, 6–3
Runner-up	1993	Umag , Croatia	Clay	Francisco Roig	Filip Dewulf Tom Vanhoudt	4–6, 5–7
Runner-up	1994	San Marino	Clay	Renzo Furlan	Neil Broad Greg Van Emburgh	4–6, 6–7
Runner-up	1994	Bucharest , Romania	Clay	Jose Antonio Conde	Wayne Arthurs Simon Youl	4–6, 4–6
Runner-up	1995	Oporto , Portugal	Clay	Àlex Corretja	Tomás Carbonell Francisco Roig	3–6, 6–7
Runner-up	1995	Kitzbühel , Austria	Clay	Wayne Arthurs	Francisco Montana Greg Van Emburgh	7–6, 3–6, 6–7
Winner	1995	San Marino	Clay	Andrew Kratzmann	Pablo Albano Federico Mordegan	7–6, 3–6, 6–2
