Year	Team	Chassis	Engine	Rank	Points
1984	Bignotti-Cotter	March 84C	Ford Cosworth DFX	11th	52
1985	Team Cotter	March 85C	Ford Cosworth DFX	17th	34
1986	Team Cotter	March 86C	Ford Cosworth DFX	9th	87
1987	Granatelli Racing	March 87C	Ford Cosworth DFX	4th	106
1988	Granatelli Racing	Lola T88/00	Ford Cosworth DFX	12th	40
1988	Granatelli Racing	March 87C	Ford Cosworth DFX	12th	40
1989	Alex Morales Motorsports	March 89CE	Alfa Romeo Indy V8	23rd	6
1989	Alex Morales Motorsports	March 88C	Alfa Romeo Indy V8	23rd	6
1990	Patrick Racing	March 90CA	Alfa Romeo Indy V8	16th	24
1990	Patrick Racing	Lola T90/00	Alfa Romeo Indy V8	16th	24
1991	Patrick Racing	Lola T91/00	Alfa Romeo Indy V8	37th	0
1991	King Racing	Lola T91/00	Buick V6 (t/c)	37th	0
1991	Euromotorsport	Lola T91/00	Ford Cosworth DFS	37th	0
1992	King Racing	Lola T91/00	Buick V6 (t/c)	38th	1
1992	King Racing	Lola T92/00	Buick V6 (t/c)	38th	1
1993	King Racing	Lola T93/00	Chevrolet 265C	14th	39
1994	Pagan Racing	Lola T92/00	Buick V6 (t/c)	54th	0
1995	Pagan Racing	Reynard 94i	Mercedes-Benz IC108B	33rd	1
