Country	Airport	City	2011	Change (11/10)
South Africa	OR Tambo International Airport	Johannesburg	18,922,346	0 2.9%
Egypt	Cairo International Airport	Cairo	13,037,541	0 19.3%
Spain	Gran Canaria Airport	Las Palmas de Gran Canaria	10,538,829	0 11.1%
Spain	Tenerife Sur	Granadilla de Abona	8,656,487	0 17.6%
South Africa	Cape Town International Airport	Cape Town	8,436,562	0 4.1%
Morocco	Mohammed V International Airport	Casablanca	7,290,314	0 0.6%
Nigeria	Murtala Muhammed International Airport	Lagos	6,748,290	0 7.6%
Egypt	Hurghada International Airport	Hurghada	5,875,423	0 25.9%
Kenya	Jomo Kenyatta International Airport	Nairobi	5,803,635	0 5.8%
Spain	Lanzarote Airport	San Bartolomé, Las Palmas	5,543,744	0 12.3%
Egypt	Sharm el-Sheikh International Airport	Sharm el-Sheikh	5,476,388	0 27.0%
Ethiopia	Bole International Airport	Addis Ababa	5,045,213	0 25.0%
South Africa	King Shaka International Airport	Durban	5,038,231	0 6.0%
Spain	Fuerteventura Airport	Puerto del Rosario	4,948,018	0 18.6%
Algeria	Houari Boumedienne Airport	Algiers	4,793,172	0 7.0%
Nigeria	Nnamdi Azikiwe International Airport	Abuja	4,216,147	0 7.5%
Spain	Tenerife Norte	San Cristóbal de La Laguna	4,095,103	0 1.1%
Tunisia	Carthage Airport	Tunis	3,994,705	0 13.2%
Morocco	Marrakesh Menara Airport	Marrakesh	3,430,174	0 0.1%
Mauritius	Sir Seewoosagur Ramgoolam International Airport	Mauritius	2,587,526	0 6.3%
France	La Réunion Roland Garros Airport	Saint-Denis	2,085,047	0 9.1%
Senegal	Léopold Sédar Senghor International Airport	Dakar	1,838,190	0 9.0%
Tanzania	Julius Nyerere International Airport	Dar es Salaam	1,829,219	0 17.5%
Tunisia	Djerba–Zarzis International Airport	Djerba	1,781,000	unknown
Ghana	Kotoka International Airport	Accra	1,585,602	0 14.3%
Morocco	Agadir–Al Massira Airport	Agadir	1,516,247	0 6.5%
South Africa	Port Elizabeth Airport	Port Elizabeth	1,366,204	0 2.5%
Tunisia	Enfidha Airport	Enfidha	1,300,000	0 160.0%
Nigeria	Port Harcourt International Airport	Port Harcourt	1,206,492	0 0.4%
Spain	La Palma Airport	Santa Cruz de La Palma	1,067,431	0 7.6%
Tunisia	Monastir International Airport	Monastir	1,000,007	0 70.3%
