Year	Champion	Score	Defeated	Location
1980	Azusa Pacific (Calif.)	3-1 (15-3, 10-15, 15-2, 15-10)	East Texas State	Pittsburg, Kansas
1981	Hawaii-Hilo	3-1 (15-9, 15-10, 5-15, 15-8)	Southwestern (Texas)	Athens, West Virginia
1982	Hawaii-Hilo	3-0 (15-3, 16-14, 15-7)	Texas Wesleyan	Denver, Colorado
1983	Hawaii-Hilo	3-0 (15-3, 15-8, 15-2)	St. Mary's (Calif.)	Rock Hill, South Carolina
1984	Hawaii-Hilo	3-0 (16-14, 15-12, 15-6)	Brigham Young-Hawaii	St. Joseph, Missouri
1985	St. Mary's (Calif.)	3-0 (15-11, 15-13, 15-3)	Biola (Calif.)	Milwaukee, Wisconsin
1986	Brigham Young-Hawaii	2-1 (5-15, 15-10, 15-13)	Lewis & Clark (Ore.)	Fort Worth, Texas
1987	Brigham Young-Hawaii	2-0 (15-3, 15-6)	Western Oregon	Milwaukee, Wisconsin
1988	Hawaii-Hilo	2-0 (15-6, 15-4)	Western Oregon	Topeka, Kansas
1989	Fresno Pacific (Calif.)	2-0 (15-3, 17-15)	Hawaii Pacific	Laie, Hawaii
1990	Hawaii Pacific	3-1 (13-15, 15-8, 15-8, 15-5)	Texas Wesleyan	Laie, Hawaii
1991	Brigham Young-Hawaii	3-0 (15-5, 15-2, 15-2)	IUPU-Indianapolis	Hays, Kansas
1992	Brigham Young-Hawaii	3-0 (15-8, 15-8, 15-10)	California Baptist	San Diego, California
1993	Puget Sound (Wash.)	3-0 (15-3, 15-8, 15-11)	Hawaii-Hilo	San Diego, California
1994	Brigham Young-Hawaii	3-0 (15-5, 15-9, 15-6)	Western Oregon	Chattanooga, Tennessee
1995	Brigham Young-Hawaii	3-1 (6-15, 15-12, 15-12, 15-5)	Puget Sound (Wash.)	San Diego, California
1996	Brigham Young-Hawaii	3-0 (15-9, 15-9, 15-10)	Point Loma Nazarene (Calif.)	San Diego, California
1997	Brigham Young-Hawaii	3-0 (15-3, 15-7, 15-4)	Biola (Calif.)	Kankakee, Illinois
1998	Columbia (Mo.)	3-0 (16-14, 15-5, 15-1)	Northwest Nazarene (Idaho)	Kankakee, Illinois
1999	Columbia (Mo.)	3-1 (8-15, 16-14, 15-12, 15-7)	Fresno Pacific (Calif.)	Fresno, California
2000	Dickinson State (N.D.)	3-1 (11-15, 15-10, 15-4, 15-13)	Columbia (Mo.)	West Palm Beach, Florida
2001	Columbia (Mo.)	3-0 (30-25, 30-17, 30-14)	National American (S.D.)	West Palm Beach, Florida
2002	National American (S.D.)	3-0 (30-22, 30-19, 30-25)	Houston Baptist (Texas)	San Diego, California
2003	Fresno Pacific (Calif.)	3-1 (30-28, 30-25, 25-30, 30-20)	Columbia (Mo.)	San Diego, California
2004	California Baptist	3-1 (30-23, 30-27, 32-34, 30-16)	Concordia (Calif.)	San Diego, California
2005	California Baptist	3-0 (30-26, 31-29, 30-28)	Columbia (Mo.)	San Diego, California
2006	National American (S.D.)	3-1 (31-33, 30-25, 33-31, 30-22)	Fresno Pacific (Calif.)	Columbia, Missouri
2007	Fresno Pacific (Calif.)	3-1 (30-28, 25-30, 30-25, 34-32)	California Baptist	Columbia, Missouri
2008	Fresno Pacific (Calif.)	3-2 (24-26, 27-29, 25-21, 25-15, 15-11)	Concordia (Calif.)	Sioux City, Iowa
2009	Fresno Pacific (Calif.)	3-0 (25-15, 25-18, 25-12)	Georgetown (Ky.)	Sioux City, Iowa
