Country	KEI	KI	Economic Incentive Regime	Innovation	Education	ICT	2008 Rank
Denmark	9.58	9.55	9.66	9.57	9.80	9.28	1
Sweden	9.52	9.63	9.18	9.79	9.40	9.69	2
Finland	9.37	9.33	9.47	9.66	9.78	8.56	3
Netherlands	9.32	9.36	9.18	9.48	9.26	9.36	4
Norway	9.27	9.27	9.25	9.06	9.60	9.16	5
Canada	9.21	9.14	9.42	9.43	9.26	8.74	6
Switzerland	9.15	9.03	9.50	9.89	7.69	9.52	7
United Kingdom	9.09	9.03	9.28	9.18	8.54	9.38	8
United States	9.08	9.05	9.16	9.45	8.77	8.93	9
Australia	9.05	9.17	8.66	8.72	9.64	9.16	10
Ireland	8.92	8.82	9.23	9.04	9.08	8.33	11
Austria	8.89	8.76	9.30	8.90	8.53	8.85	12
Iceland	8.88	8.87	8.92	7.98	9.44	9.18	13
Germany	8.87	8.83	8.99	9.00	8.46	9.04	14
New Zealand	8.87	9.00	8.48	8.65	9.79	8.56	15
Belgium	8.73	8.70	8.82	8.96	9.14	8.02	16
Taiwan ,Rep of China	8.69	8.80	8.35	9.24	7.91	9.26	17
Luxembourg	8.65	8.40	9.42	8.91	6.66	9.62	18
Japan	8.56	8.84	7.71	9.15	8.71	8.66	19
France	8.47	8.69	7.82	8.61	9.08	8.38	20
Estonia	8.34	8.22	8.68	7.49	8.27	8.90	21
Slovenia	8.25	8.29	8.11	8.31	8.24	8.33	22
Spain	8.24	8.13	8.58	8.14	8.21	8.04	23
Singapore	8.24	7.75	9.71	9.56	5.19	8.50	24
Israel	8.22	8.24	8.16	9.34	6.72	8.64	25
Hong Kong, China	8.20	7.73	9.60	8.64	5.30	9.26	26
Italy	7.86	8.19	6.84	8.04	7.86	8.68	27
Hungary	7.85	7.67	8.39	8.14	7.62	7.25	28
Czech Republic	7.83	7.70	8.23	7.60	8.11	7.39	29
Lithuania	7.68	7.60	7.94	6.59	8.36	7.84	30
South Korea	7.68	8.38	5.57	8.47	7.97	8.71	31
Latvia	7.64	7.51	8.04	6.40	8.41	7.73	32
Cyprus	7.55	7.47	7.77	7.65	6.45	8.32	33
Portugal	7.52	7.22	8.44	7.43	6.83	7.39	34
Greece	7.38	7.48	7.08	7.63	8.20	6.62	35
Poland	7.38	7.37	7.39	6.92	7.94	7.25	36
Slovakia	7.33	7.12	7.99	6.86	6.98	7.51	37
Barbados	7.25	7.78	5.66	7.51	8.40	7.44	38
Croatia	7.19	7.19	7.16	7.54	6.44	7.61	39
Chile	6.92	6.53	8.11	6.81	6.31	6.46	40
Bulgaria	6.80	6.73	7.01	6.43	7.42	6.33	41
United Arab Emirates	6.66	6.57	6.95	6.74	4.78	8.18	42
Romania	6.37	6.20	6.87	5.66	6.30	6.63	43
Uruguay	6.35	6.31	6.49	5.26	7.18	6.48	44
Qatar	6.15	6.20	5.99	5.77	5.29	7.56	45
Dominica	6.07	5.61	7.46	3.76	6.24	6.82	46
Costa Rica	6.06	5.85	6.70	6.24	5.01	6.30	47
Malaysia	6.06	6.02	6.18	6.83	4.14	7.08	48
Russian Federation	5.40	6.69	1.55	6.89	7.09	6.08	49
Bahrain	6.02	5.75	6.84	4.20	5.82	7.22	50
Kuwait	6.01	5.68	7.01	5.05	4.87	7.13	51
Ukraine	5.80	6.38	4.06	5.77	7.91	5.45	52
Argentina	5.49	6.44	2.63	6.85	6.49	5.98	53
Trinidad and Tobago	5.64	5.54	5.95	6.02	4.34	6.27	54
Brazil	5.57	6.00	4.30	6.07	5.84	6.08	55
Turkey	5.61	5.14	7.02	5.67	4.38	5.38	56
South Africa	5.55	5.47	5.81	6.92	4.51	4.98	57
Jordan	5.53	5.46	5.77	5.66	5.49	5.21	58
Armenia	5.51	5.44	5.71	6.17	6.32	3.84	59
Mexico	5.45	5.48	5.38	5.82	4.85	5.77	60
Thailand	5.44	5.41	5.51	5.98	5.27	5.00	61
Oman	5.37	4.72	7.32	4.95	4.30	4.90	62
Macedonia	5.33	5.23	5.61	4.76	4.87	6.06	63
Mauritius	5.18	4.58	6.95	3.70	4.09	5.96	64
Saudi Arabia	5.15	5.07	5.39	4.04	4.87	6.29	65
Jamaica	5.04	5.40	3.99	5.36	4.10	6.74	66
Moldova	5.04	5.32	4.19	4.39	6.40	5.17	67
Kazakhstan	5.01	5.08	4.82	3.77	7.21	4.25	68
Belarus	4.93	6.39	0.55	5.54	8.00	5.63	69
Lebanon	4.86	4.91	4.70	4.69	4.76	5.27	70
