Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
17	December 2	Portland	L 97–104 (OT)	Chris Duhon (23)	David Lee (12)	Chris Duhon (13)	Madison Square Garden 18,664	8–9
18	December 3	@ Cleveland	L 82–118 (OT)	Al Harrington (20)	David Lee (16)	Anthony Roberson , Chris Duhon (4)	Quicken Loans Arena 20,562	8–10
19	December 5	@ Atlanta	L 95–98 (OT)	Al Harrington (27)	David Lee (11)	Chris Duhon (8)	Philips Arena 16,366	8–11
20	December 7	Detroit	W 104–92 (OT)	Chris Duhon (25)	David Lee (19)	Chris Duhon (9)	Madison Square Garden 19,763	9–11
21	December 9	@ Chicago	L 100–105 (OT)	Al Harrington (28)	David Lee (15)	Chris Duhon (14)	United Center 19,519	9–12
22	December 10	@ New Jersey	W 121–109 (OT)	Al Harrington (39)	Al Harrington (13)	Chris Duhon (10)	Izod Center 16,722	10–12
23	December 13	@ Sacramento	W 114–90 (OT)	Al Harrington (33)	David Lee (19)	Chris Duhon (5)	ARCO Arena 12,155	11–12
24	December 15	@ Phoenix	L 103–111 (OT)	Nate Robinson (27)	David Lee (12)	Chris Duhon (9)	US Airways Center 18,422	11–13
25	December 16	@ L.A. Lakers	L 114–116 (OT)	Nate Robinson (33)	David Lee (14)	Chris Duhon (11)	Staples Center 18,997	11–14
26	December 19	Milwaukee	L 81–105 (OT)	Nate Robinson (21)	David Lee (14)	Chris Duhon (7)	Madison Square Garden 19,009	11–15
27	December 21	@ Boston	L 105–124 (OT)	Quentin Richardson (29)	David Lee (8)	Chris Duhon (10)	TD Banknorth Garden 18,624	11–16
28	December 26	Minnesota	L 107–120 (OT)	Al Harrington , Nate Robinson (26)	David Lee (13)	Chris Duhon (5)	Madison Square Garden 19,763	11–17
29	December 28	Denver	L 110–117 (OT)	Nate Robinson (20)	David Lee (12)	Chris Duhon (11)	Madison Square Garden 19,763	11–18
