Nationality	Year	Games Played	Minutes Played	Goals Scored	Yellow Card	Red Card
Mexico	1997	1	29	—	—	—
Mexico	1999	12	1177	1	2	—
Mexico	2000	10	902	2	1	—
Mexico	2001	12	1020	—	5	1
Mexico	2002	7	557	1	—	1
Mexico	2003	4	299	1	1	—
Mexico	2004	8	676	1	3	—
Mexico	2005	9	710	1	3	1
Mexico	2006	6	554	1	2	—
Mexico	2007	9	810	1	2	—
Mexico	2008	6	540	1	2	—
Mexico	2009	2	155	—	2	1
Mexico	2010	12	796	1	—	—
Mexico	2011	11	—	1	—	—
Mexico	2012	2	—	—	—	—
Mexico	2013	3	270	1	—	—
Career totals	Career totals	114	8175	13	23	4
