Result	Date	Race	Venue	Group	Distance	Weight (kg)	Jockey	Winner/2nd
Won	19 August 2000	Manikato Stakes	Moonee Valley	G1	1200 m	55	G. Childs	2nd - Honour The Name
Won	3 September 2000	Memsie Stakes	Caulfield	G2	1400 m	55.5	G. Childs	2nd - Umrum
Won	16 September 2000	J F Feehan Stakes	Moonee Valley	G2	1600 m	55.5	G. Childs	2nd - Le Zagaletta
2nd	7 October 2000	Turnbull Stakes	Flemington	G2	2000 m	56.5	G. Childs	1st - Fairway
Won	28 October 2000	Cox Plate	Moonee Valley	G1	2040 m	55.5	G. Childs	2nd - Diatribe
Won	25 November 2000	Breeders Stakes	Pukekohe	G2	1400 m	55.5	G. Childs	2nd - Amnesia
Won	17 December 2000	Hong Kong Mile	Sha Tin	G1	1600 m	56	G. Childs	2nd - Fairy King Prawn
Won	10 February 2001	Waikato Sprint	Te Rapa	G1	1400 m	56	G. Childs	2nd - Fritz
Won	3 March 2001	Apollo Stakes	Warwick Farm	G2	1400 m	55.5	G. Childs	2nd - Celestial Choir
3rd	24 March 2001	Dubai Duty Free Stakes	Nad Al Sheba	G2	1777 m	55	G. Childs	1st - Jim And Tonic
