Date	Theatre, Studio, or Network	Role	Dance Partner	Director
June 3, 1931	New Amsterdam	Himself	Adele Astaire Tilly Losch	Hassard Short
Nov. 29 1932	Ethel Barrymore	Guy Holden	Claire Luce	Howard Lindsay
Nov. 2 1933	Palace	Guy Holden	Claire Luce	Felix Edwardes
Dec. 2, 1933	MGM	Himself	Joan Crawford	Robert Z. Leonard
Dec. 20, 1933	RKO	Fred Ayres	Dolores del Río Ginger Rogers	Thornton Freeland
Oct. 3, 1934	RKO	Guy Holden	Ginger Rogers	Mark Sandrich
Feb. 12, 1935	RKO	Huckleberry Haines	Ginger Rogers	William A. Seiter
Aug. 12 1935	NBC	Himself	—	—
Aug. 16, 1935	RKO	Jerry Travers	Ginger Rogers	Mark Sandrich
Feb. 19, 1936	RKO	Bake Baker	Ginger Rogers	Mark Sandrich
Aug. 26, 1936	RKO	"Lucky" Garnett	Ginger Rogers	George Stevens
Sept. 15 1936	NBC	Himself (host)	—	—
Apr. 30, 1937	RKO	Peter P. Peters	Ginger Rogers	Mark Sandrich
Nov. 20, 1937	RKO	Jerry Halliday	George Burns & Gracie Allen Joan Fontaine	George Stevens
Aug. 30, 1938	RKO	Tony Flagg	Ginger Rogers	Mark Sandrich
Jan. 15 1939	NBC	—	—	—
Mar. 31, 1939	RKO	Vernon Castle	Ginger Rogers	H.C. Potter
Feb. 14, 1940	MGM	Johnny Brett	Eleanor Powell George Murphy	Norman Taurog
Dec. 3, 1940	Paramount	Danny O'Neill	Paulette Goddard	H.C. Potter
