Tie no	Home team	Score	Away team	Date
1	Blackpool	1–0	Huddersfield Town	31 January 1953
2	Burnley	2–0	Sunderland	31 January 1953
3	Preston North End	2–2	Tottenham Hotspur	31 January 1953
Replay	Tottenham Hotspur	1–0	Preston North End	4 February 1953
4	Aston Villa	0–0	Brentford	31 January 1953
Replay	Brentford	1–2	Aston Villa	4 February 1953
5	Bolton Wanderers	1–1	Notts County	31 January 1953
Replay	Notts County	2–2	Bolton Wanderers	5 February 1953
Replay	Bolton Wanderers	1–0	Notts County	9 February 1953
6	Everton	4–1	Nottingham Forest	31 January 1953
7	Shrewsbury Town	1–4	Southampton	31 January 1953
8	Sheffield United	1–1	Birmingham City	31 January 1953
Replay	Birmingham City	3–1	Sheffield United	4 February 1953
9	Newcastle United	1–3	Rotherham United	31 January 1953
10	Manchester City	1–1	Luton Town	31 January 1953
Replay	Luton Town	5–1	Manchester City	4 February 1953
11	Manchester United	1–1	Walthamstow Avenue	31 January 1953
Replay	Walthamstow Avenue	2–5	Manchester United	5 February 1953
12	Plymouth Argyle	1–0	Barnsley	31 January 1953
13	Hull City	1–2	Gateshead	31 January 1953
14	Chelsea	1–1	West Bromwich Albion	31 January 1953
Replay	West Bromwich Albion	0–0	Chelsea	4 February 1953
Replay	Chelsea	1–1	West Bromwich Albion	9 February 1953
Replay	West Bromwich Albion	0–4	Chelsea	11 February 1953
15	Halifax Town	1–0	Stoke City	31 January 1953
16	Arsenal	6–2	Bury	31 January 1953
