Week	Date	Opponent	Result	Attendance
1	September 7, 1980	at Buffalo Bills	L 17–7	79,598
2	September 14, 1980	Cincinnati Bengals	W 17–16	38,322
3	September 21, 1980	at Atlanta Falcons	W 20–17	55,470
4	September 28, 1980	New Orleans Saints	W 21–16	40,946
5	October 5, 1980	Baltimore Colts	L 30–17	50,631
6	October 12, 1980	at New England Patriots	L 34–0	60,377
7	October 19, 1980	Buffalo Bills	W 17–14	41,636
8	October 27, 1980	at New York Jets	L 17–14	53,046
9	November 2, 1980	at Oakland Raiders	L 16–10	46,378
10	November 9, 1980	at Los Angeles Rams	W 35–14	62,198
11	November 16, 1980	San Francisco 49ers	W 17–13	45,135
12	November 20, 1980	San Diego Chargers	L 27–24	63,013
13	November 30, 1980	at Pittsburgh Steelers	L 23–10	51,384
14	December 8, 1980	New England Patriots	W 16–13	63,292
15	December 14, 1980	at Baltimore Colts	W 24–14	30,564
16	December 20, 1980	New York Jets	L 24–17	41,854
