Tournament	Date	City	Country	Surface	Singles champions	Doubles champions
Germany F1 Futures	January 11	Schwieberdingen	Germany	Carpet (i)	Jesse Huta Galung	Jesse Huta Galung / Miliaan Niesten
Great Britain F1 Futures	January 11	Glasgow	United Kingdom	Hard (i)	Chris Eaton	Chris Eaton / Dominic Inglot
USA F1 Futures	January 11	Plantation	United States	Clay	Benoît Paire	Stefano Ianni / Deniss Pavlovs
El Salvador F1 Futures	January 18	Santa Tecla	El Salvador	Clay	Borut Puc	Emilio Gómez / Júlio César Campozano
Germany F2 Futures	January 18	Stuttgart	Germany	Hard (i)	Bastian Knittel	Kevin Deden / Bastian Knittel
Great Britain F2 Futures	January 18	Sheffield	United Kingdom	Hard (i)	Stefano Galvani	Oliver Charroin / Andis Juška
USA F2 Futures	January 18	Hollywood	United States	Clay	Éric Prodon	Matteo Viola / Stefano Ianni
Argentina F1 Futures	January 25	Dolores	Argentina	Clay	Jonathan Gonzalia	Diego Cristín / Andrés Molteni
France F1 Futures	January 25	Bagnoles-de-l'Orne	France	Clay (i)	Grégoire Burquier	Florian Reynet / Morgan Mannarino
Germany F3 Futures	January 25	Kaarst	Germany	Carpet (i)	Sergei Bubka	Mike Scheidweiler / Ludovic Walter
Guatemala F1 Futures	January 25	Guatemala City	Guatemala	Hard	Marius Copil	Marius Copil / Iván Endara
Israel F1 Futures	January 25	Eilat	Israel	Hard	Andrej Martin	Andrej Martin / Miloslav Mečíř, Jr.
Morocco F1 Futures	January 25	Casablanca	Morocco	Clay	Martin Kližan	Simone Vagnozzi / Alberto Brizzi
Spain F3 Futures	January 25	Murcia	Spain	Hard	Roberto Bautista-Agut	Fabrice Martin / Jérémy Blandin
USA F3 Futures	January 25	Tamarac	United States	Clay	Éric Prodon	Cătălin Gârd / Christian Guevara
Argentina F2 Futures	February 1	Tandil	Argentina	Clay	Juan-Manuel Valverde	Martín Alund / Daniel-Alejandro Lopez
