Outcome	Year	Championship	Surface	Partner	Opponent	Score
Winner	2002	Canada (W1)	Hard	Mike Bryan	Mark Knowles Daniel Nestor	4–6, 7–6 (7–1) , 6–3
Runner-up	2003	Indian Wells (R1)	Hard	Mike Bryan	Wayne Ferreira Yevgeny Kafelnikov	1–6, 4–6
Winner	2003	Cincinnati (W1)	Hard	Mike Bryan	Wayne Arthurs Paul Hanley	7–5, 7–6 (7–5)
Runner-up	2004	Hamburg (R1)	Clay	Mike Bryan	Wayne Black Kevin Ullyett	1–6, 2–6
Runner-up	2004	Madrid (R1)	Hard (i)	Mike Bryan	Mark Knowles Daniel Nestor	3–6, 4–6
Runner-up	2005	Monte Carlo (R1)	Clay	Mike Bryan	Leander Paes Nenad Zimonjić	W/O
Runner-up	2005	Rome (R1)	Clay	Mike Bryan	Michaël Llodra Fabrice Santoro	5–7, 4–6
Winner	2005	Paris (W1)	Hard (i)	Mike Bryan	Mark Knowles Daniel Nestor	6–4, 6–7 (3–7) , 6–4
Runner-up	2006	Indian Wells (R2)	Hard	Mike Bryan	Mark Knowles Daniel Nestor	4–6, 4–6
Runner-up	2006	Miami (R1)	Hard	Mike Bryan	Jonas Björkman Max Mirnyi	4–6, 4–6
Winner	2006	Canada (W2)	Hard	Mike Bryan	Paul Hanley Kevin Ullyett	6–3, 7–5
Runner-up	2006	Cincinnati (R1)	Hard	Mike Bryan	Jonas Björkman Max Mirnyi	6–7 (5–7) , 4–6
Winner	2006	Madrid (W1)	Hard (i)	Mike Bryan	Mark Knowles Daniel Nestor	7–5, 6–4
Winner	2007	Miami (W1)	Hard	Mike Bryan	Leander Paes Martin Damm	6–7 (7–9) , 6–3, [10–7]
Winner	2007	Monte Carlo (W1)	Clay	Mike Bryan	Julien Benneteau Richard Gasquet	6–2, 6–1
Runner-up	2007	Rome (R2)	Clay	Mike Bryan	Fabrice Santoro Nenad Zimonjić	4–6, 6–7 (4–7) , [7–10]
Winner	2007	Hamburg (W1)	Clay	Mike Bryan	Paul Hanley Kevin Ullyett	6–3, 6–4
Runner-up	2007	Cincinnati (R2)	Hard	Mike Bryan	Jonathan Erlich Andy Ram	6–4, 3–6, [11–13]
Winner	2007	Madrid (W2)	Hard (i)	Mike Bryan	Mariusz Fyrstenberg Marcin Matkowski	6–3, 7–6 (7–4)
Winner	2007	Paris (W2)	Hard (i)	Mike Bryan	Daniel Nestor Nenad Zimonjić	6–3, 7–6 (7–4)
Winner	2008	Miami (W2)	Hard	Mike Bryan	Mahesh Bhupathi Mark Knowles	6–2, 6–2
Winner	2008	Rome (W1)	Clay	Mike Bryan	Daniel Nestor Nenad Zimonjić	3–6, 6–4, [10–8]
Runner-up	2008	Hamburg (R2)	Clay	Mike Bryan	Daniel Nestor Nenad Zimonjić	4–6, 7–5, [8–10]
Runner-up	2008	Canada (R1)	Hard	Mike Bryan	Daniel Nestor Nenad Zimonjić	2–6, 6–4, [6–10]
Winner	2008	Cincinnati (W2)	Hard	Mike Bryan	Jonathan Erlich Andy Ram	4–6, 7–6 (7–2) , [10–7]
Runner-up	2009	Monte Carlo (R2)	Clay	Mike Bryan	Daniel Nestor Nenad Zimonjić	4–6, 1–6
Runner-up	2009	Rome (R3)	Clay	Mike Bryan	Daniel Nestor Nenad Zimonjić	6–7 (5–7) , 3–6
Runner-up	2009	Cincinnati (R3)	Hard	Mike Bryan	Daniel Nestor Nenad Zimonjić	6–3, 6–7 (2–7) , [13–15]
Winner	2010	Rome (W2)	Clay	Mike Bryan	John Isner Sam Querrey	6–2, 6–3
Winner	2010	Madrid (W3)	Clay	Mike Bryan	Daniel Nestor Nenad Zimonjić	6–3, 6–4
Winner	2010	Canada (W3)	Hard	Mike Bryan	Julien Benneteau Michaël Llodra	7–5, 6–3
Winner	2010	Cincinnati] (W3)	Hard	Mike Bryan	Mahesh Bhupathi Max Mirnyi	6–3, 6–4
Winner	2011	Monte Carlo (W2)	Clay	Mike Bryan	Juan Ignacio Chela Bruno Soares	6–3, 6–2
Winner	2011	Madrid (W4)	Clay	Mike Bryan	Michaël Llodra Nenad Zimonjić	6–3, 6–3
Runner-up	2011	Canada (R2)	Hard	Mike Bryan	Michaël Llodra Nenad Zimonjić	4–6, 7–6 (7–5) , [5–10]
Winner	2012	Monte Carlo (W3)	Clay	Mike Bryan	Max Mirnyi Daniel Nestor	6–2, 6–3
Winner	2012	Canada (W4)	Hard	Mike Bryan	Marcel Granollers Marc López	6–1, 4–6, [12–10]
Winner	2013	Indian Wells (W1)	Hard	Mike Bryan	Treat Conrad Huey Jerzy Janowicz	6–3, 3–6, [10–6]
Runner-up	2013	Monte Carlo (R3)	Clay	Mike Bryan	Julien Benneteau Nenad Zimonjić	6–4, 6–7 (4–7) , [12–14]
Winner	2013	Madrid (W5)	Clay	Mike Bryan	Alexander Peya Bruno Soares	6–2, 6–3
Winner	2013	Rome (W3)	Clay	Mike Bryan	Mahesh Bhupathi Rohan Bopanna	6–2, 6–3
Winner	2013	Cincinnati (W4)	Hard	Mike Bryan	Marcel Granollers Marc López	6-4, 4-6 [10-4]
