Urban area	Population 1.1.2009	Population 1.1.2008	Population 1.1.2007	Population 1.1.2006	Population per square km
Oslo	876.391	856.915	839.423	825.105	3.009
Bergen	227.752	223.593	220.418	218.032	2.387
Stavanger	189.828	185.913	181.280	177.337	2.387
Trondheim	160.072	156.794	152.845	150.049	2.509
Fredrikstad/Sarpsborg	101.698	100.458	99.227	98.152	1.533
Drammen	96.563	94.901	93.006	91.584	1.915
Porsgrunn/Skien	86.923	86.342	85.812	85.408	1.493
Kristiansand	67.547	66.532	65.636	64.930	2.082
Tromsø	55.057	54.070	53.622	53.042	2.418
Tønsberg	47.465	46.862	46.091	45.447	1.518
Ålesund	46.471	45.902	45.299	44.706	1.533
Haugesund	42.850	42.112	41.183	40.685	1.792
Moss	41.725	40.309	40.217	34.684	1.864
Sandefjord	40.817	40.596	40.211	39.849	1.493
Bodø	36.482	36.073	35.618	35.106	2.419
Arendal	32.439	32.103	31.442	31.182	1.222
Hamar	30.015	29.808	29.479	29.077	1.656
Larvik	23.899	23.577	23.359	23.164	1.627
Halden	22.986	22.688	22.339	22.184	1.607
Lillehammer	20.097	19.922	19.638	19.422	1.545
Harstad	19.519	19.470	19.573	19.528	1.676
Molde	19.353	19.217	18.631	18.579	1.806
Kongsberg	18.809	18.565	18.136	17.914	1.448
Gjøvik	18.707	18.424	17.987	17.897	1.428
Askøy	18.326	18.054	17.754	17.480	1.202
Horten	18.211	17.966	17.940	17.723	2.099
Mo i Rana	17.894	17.750	17.830	17.942	1.391
Kristiansund	17.002	16.854	16.820	16.829	2.155
Jessheim	15.349	14.632	13.385	13.038	1.701
Hønefoss	14.292	14.177	13.930	13.811	1.380
Narvik	13 927	13.958	13.944	13.950	2.065
Alta	13.583	13.344	13.128	12.530	1.349
Elverum	13.541	13.295	13.051	12.757	1.088
Askim	13.137	12.884	12.696	12.570	1.654
Ski	12.876	12.934	12.687	12.670	1.957
Drøbak	12.420	12.239	11.853	11.514	1.764
Nesoddtangen	11.599	11.420	11.285	11.083	1.655
Steinkjer	11.538	11.443	11.338	11.137	1.327
Leirvik	11.424	11.342	11.237	11.143	1.341
Vennesla	11.409	11.289	11.057	11.009	1.331
Kongsvinger	11.360	11.394	11 181	11.125	1.358
shalsen Stjørdal	10.779	10.638	10.494	10.227	1.461
Grimstad	10.668	10.454	10.133	9.973	1.071
Mandal	10.494	10.512	10.372	10.281	1.553
Egersund	10.397	10.226	9.707	9.528	1.587
