Pick #	NFL Team	Player	Position	College
32	Phoenix Cardinals	Anthony Thompson	Running Back	Indiana
59	Phoenix Cardinals	Ricky Proehl	Wide Receiver	Wake Forest
86	Phoenix Cardinals	Travis Davis	Nose Tackle	Michigan State
116	Phoenix Cardinals	Larry Centers	Fullback	Stephen F. Austin
143	Phoenix Cardinals	Tyrone Shavers	Wide Receiver	Lamar
170	Phoenix Cardinals	Johnny Johnson	Running Back	San Jose State
200	Phoenix Cardinals	Mickey Washington	Cornerback	Texas A&M
226	Phoenix Cardinals	David Bavaro	Inside Linebacker	Syracuse
253	Phoenix Cardinals	Dave Elle	Tight End	South Dakota
283	Phoenix Cardinals	Dempsey Norman	Wide Receiver	St. Francis, Ill.
309	Phoenix Cardinals	Donnie Riley	Running Back	Central Michigan
331	Phoenix Cardinals	Ken McMichel	Defensive Back	Oklahoma
