Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	RCD Español	38	52	20	12	6	59	25	+34
2	Real Betis	38	51	22	7	9	66	38	+28
3	SD Compostela	38	49	21	7	10	56	36	+20
4	CD Toledo	38	47	18	11	9	50	32	+18
5	RCD Mallorca	38	47	20	7	11	66	39	+27
6	Real Madrid B	38	46	19	8	11	57	41	+16
7	Hércules CF	38	44	16	12	10	41	35	+6
8	Barcelona B	38	39	11	17	10	59	51	+8
9	CP Mérida	38	37	12	13	13	47	41	+6
10	SD Eibar	38	35	10	15	13	30	40	-10
11	CD Badajoz	38	35	12	11	15	45	46	-1
12	Atlético Marbella	38	35	10	15	13	40	41	-1
13	Palamós CF	38	34	11	12	15	40	49	-9
14	Athletic de Bilbao B	38	34	10	14	14	46	52	-6
15	CD Leganés	38	34	11	12	15	53	59	-6
16	Villarreal CF	38	34	14	6	18	29	48	-19
17	CD Castellón	38	32	9	14	15	30	48	-18
18	Real Murcia	38	31	10	11	17	40	64	-24
19	Real Burgos 1	38	26	10	6	22	38	68	-30
20	Cádiz CF	38	18	4	10	24	28	67	-39
