Date	Opponent	Score	Loss	Record
July 1	Expos	2 - 1	Clemens (12-3)	37-41
July 2	Expos	7 - 6 (13)	Telford (2-2)	38-41
July 3	Yankees	3 - 1	Williams (3-8)	38-42
July 4	Yankees	1 - 0	Cone (8-4)	39-42
July 5	Yankees	8 - 0	Hentgen (8-6)	39-43
July 6	Yankees	2 - 0	Mendoza (3-4)	40-43
July 10	@ Red Sox	8 - 7 (11)	Timlin (2-1)	40-44
July 11	@ Red Sox	8 - 4	Wasdin (3-4)	41-44
July 12	@ Red Sox	3 - 1	Sele (10-7)	42-44
July 13	@ Red Sox	3 - 2	Wakefield (3-10)	43-44
July 14	@ Orioles	9 - 5	Person (3-6)	43-45
July 15	@ Orioles	8 - 4	Guzmán (3-6)	43-46
July 16	@ Rangers	6 - 0	Hentgen (9-7)	43-47
July 17	@ Rangers	9 - 1	Burkett (7-8)	44-47
July 18	@ Angels	2 - 1	Watson (8-6)	45-47
July 19	@ Angels	5 - 4	Timlin (2-2)	45-48
July 20	@ Angels	9 - 5	Andújar (0-5)	45-49
July 22	Brewers	5 - 2	Eldred (9-10)	46-49
July 23	Brewers	8 - 0	McAndrew (1-1)	47-49
July 24	Brewers	5 - 4	Mercedes (3-6)	48-49
July 25	Royals	2 - 1	Rusch (3-6)	49-49
July 26	Royals	6 - 5	Carrasco (0-1)	50-49
July 27	Royals	3 - 2	Quantrill (4-3)	50-50
July 28	@ Brewers	1 - 0	Clemens (16-4)	50-51
July 28	@ Brewers	9 - 3	Flener (0-1)	50-52
July 29	@ Brewers	2 - 0	Williams (6-9)	50-53
July 29	@ Brewers	4 - 2	Carpenter (0-3)	50-54
July 31	@ Tigers	4 - 2	Person (4-7)	50-55
