Week	Date	Opponent	Result	Kickoff Time	Attendance
1	September 8, 2002	San Diego Chargers	L 34–6	CBS 1:00pm	53,705
2	September 15, 2002	at Cleveland Browns	L 20–7	CBS 1:00pm	73,358
3	September 22, 2002	at Atlanta Falcons	L 30–3	ESPN 8:30pm	68,129
4	September 29, 2002	Tampa Bay Buccaneers	L 35–7	FOX 1:00pm	57,234
5	October 6, 2002	at Indianapolis Colts	L 28–21	CBS 1:00pm	56,570
6	October 13, 2002	Pittsburgh Steelers	L 34–7	CBS 1:00pm	63,900
7	Bye	Bye	Bye	Bye	Bye
8	October 27, 2002	Tennessee Titans	L 30–24	CBS 1:00pm	52,822
9	November 3, 2002	at Houston Texans	W 38–3	CBS 1:00pm	69,827
10	November 10, 2002	at Baltimore Ravens	L 38–27	CBS 1:00pm	69,024
11	November 17, 2002	Cleveland Browns	L 27–20	CBS 1:00pm	64,060
12	November 24, 2002	at Pittsburgh Steelers	L 29–21	CBS 1:00pm	60,473
13	December 1, 2002	Baltimore Ravens	L 27–23	CBS 1:00pm	44,878
14	December 8, 2002	at Carolina Panthers	L 52–31	CBS 1:00pm	66,799
15	December 15, 2002	Jacksonville Jaguars	L 29–15	CBS 1:00pm	42,092
16	December 22, 2002	New Orleans Saints	W 20–13	FOX 1:00pm	43,544
17	December 29, 2002	at Buffalo Bills	L 27–9	CBS 1:00pm	47,850
