Date	Venue	Score	Result	Competition
3 December 2003	Galolhu National Stadium , Malé	1–0	12–0	2006 FIFA World Cup qualifier
3 December 2003	Galolhu National Stadium, Malé	5–0	12–0	2006 FIFA World Cup qualifier
3 December 2003	Galolhu National Stadium, Malé	6–0	12–0	2006 FIFA World Cup qualifier
3 December 2003	Galolhu National Stadium, Malé	8–0	12–0	2006 FIFA World Cup qualifier
3 September 2004	Galolhu National Stadium, Malé	1–1	1–2	Friendly
13 October 2004	Galolhu National Stadium, Malé	2–0	3–0	2006 FIFA World Cup qualifier
13 October 2004	Galolhu National Stadium, Malé	3–0	3–0	2006 FIFA World Cup qualifier
7 December 2005	Peoples Football Stadium , Karachi	3–0	9–1	2005 SAFF Gold Cup
7 December 2005	Peoples Football Stadium, Karachi	9–1	9–1	2005 SAFF Gold Cup
9 December 2005	Peoples Football Stadium, Karachi	1–0	2–0	2005 SAFF Gold Cup
28 October 2007	Galolhu National Stadium, Malé	2–0	2–0	2010 FIFA World Cup qualifier
16 April 2009	Galolhu National Stadium, Malé	2–1	3–2	2010 AFC Challenge Cup qualifier
18 April 2009	Galolhu National Stadium, Malé	1–0	5–0	2010 AFC Challenge Cup qualifier
18 April 2009	Galolhu National Stadium, Malé	2–0	5–0	2010 AFC Challenge Cup qualifier
7 December 2009	Bangabandhu National Stadium , Dhaka	2–1	3–1	2009 SAFF Championship
7 December 2009	Bangabandhu National Stadium, Dhaka	3–1	3–1	2009 SAFF Championship
11 December 2009	Bangabandhu National Stadium, Dhaka	3–1	5–1	2009 SAFF Championship
21 March 2011	Galolhu National Stadium, Malé	2–0	4–0	2012 AFC Challenge Cup qualifier
21 March 2011	Galolhu National Stadium, Malé	3–0	4–0	2012 AFC Challenge Cup qualifier
22 March 2011	Rasmee Dhandu Stadium, Malé	4–0	4–0	2012 AFC Challenge Cup qualifier
22 November 2011	Galolhu National Stadium, Malé	3–0	3–0	Friendly
2 December 2011	Jawaharlal Nehru Stadium , New Delhi	1–0	1–1	2011 SAFF Championship
6 December 2011	Jawaharlal Nehru Stadium, New Delhi	3–1	3–1	2011 SAFF Championship
27 August 2012	Jawaharlal Nehru Stadium, Delhi	1–0	2–1	2012 Nehru Cup
14 February 2013	Galolhu National Stadium, Malé	2–0	3–0	International Friendly
14 February 2013	Galolhu National Stadium, Malé	3–0	3–0	InternationalFriendly
2 September 2013	Dasarath Rangasala Stadium , Kathmandu	2–0	10–0	2013 SAFF Championship
2 September 2013	Dasarath Rangasala Stadium, Kathmandu	3–0	10–0	2013 SAFF Championship
2 September 2013	Dasarath Rangasala Stadium, Kathmandu	4–0	10–0	2013 SAFF Championship
2 September 2013	Dasarath Rangasala Stadium, Kathmandu	5–0	10–0	2013 SAFF Championship
2 September 2013	Dasarath Rangasala Stadium, Kathmandu	6–0	10–0	2013 SAFF Championship
2 September 2013	Dasarath Rangasala Stadium, Kathmandu	10–0	10–0	2013 SAFF Championship
4 September 2013	Dasarath Rangasala Stadium, Kathmandu	3–2	8–2	2013 SAFF Championship
4 September 2013	Dasarath Rangasala Stadium, Kathmandu	4–2	8–2	2013 SAFF Championship
4 September 2013	Dasarath Rangasala Stadium, Kathmandu	6–2	8–2	2013 SAFF Championship
4 September 2013	Dasarath Rangasala Stadium, Kathmandu	7–2	8–2	2013 SAFF Championship
