Year	Chassis	Engine(s)	Tyres	Points
1980	Osella FA1 FA1B	Cosworth DFV 3.0 V8	G	0
1981	Osella FA1B FA1C	Cosworth DFV 3.0 V8	M	0
1982	Osella FA1C FA1D	Cosworth DFV 3.0 V8	P	3
1983	Osella FA1D	Cosworth DFV 3.0 V8	M	0
1983	Osella FA1E	Alfa Romeo 1260 3.0 V12	M	0
1984	Osella FA1F	Alfa Romeo 890T 1.5 V8 (t/c)	P	2
1984	Osella FA1E	Alfa Romeo 1260 3.0 V12	P	2
1985	Osella FA1F FA1G	Alfa Romeo 890T 1.5 V8 (t/c)	P	0
1986	Osella FA1G FA1F FA1H	Alfa Romeo 890T 1.5 V8 (t/c)	P	0
1987	Osella FA1I	Alfa Romeo 890T 1.5 V8 (t/c)	G	0
1988	Osella FA1I FA1L	Osella 890T 1.5 V8 (t/c)	G	0
1989	Osella FA1M	Cosworth DFR 3.5 V8	P	0
1990	Osella FA1M-E	Cosworth DFR 3.5 V8	P	0
