Date	Course	Distance	Type	Winner
21 May	Palermo to Catania	km (mi)	Stage with mountain(s)	Mario Fazio ( ITA )
22 May	Catania to Messina	km (mi)	Plain stage	Sergio Maggini ( ITA )
23 May	Villa San Giovanni to Cosenza	km (mi)	Stage with mountain(s)	Guido De Santi ( ITA )
24 May	Cosenza to Salerno	km (mi)	Plain stage	Fausto Coppi ( ITA )
26 May	Salerno to Naples	km (mi)	Plain stage	Serafino Biagioni ( ITA )
27 May	Naples to Rome	km (mi)	Plain stage	Mario Ricci ( ITA )
28 May	Rome to Pesaro	km (mi)	Plain stage	Adolfo Leoni ( ITA )
29 May	Pesaro to Venezia	km (mi)	Plain stage	Luigi Casola ( ITA )
31 May	Venezia to Udine	km (mi)	Plain stage	Adolfo Leoni ( ITA )
1 June	Udine to Bassano del Grappa	km (mi)	Plain stage	Giovanni Corrieri ( ITA )
2 June	Bassano del Grappa to Bolzano	km (mi)	Stage with mountain(s)	Fausto Coppi ( ITA )
4 June	Bolzano to Modena	km (mi)	Plain stage	Oreste Conte ( ITA )
5 June	Modena to Montecatini Terme	km (mi)	Stage with mountain(s)	Adolfo Leoni ( ITA )
6 June	Montecatini Terme to Genoa	km (mi)	Stage with mountain(s)	Vincenzo Rossello ( ITA )
7 June	Genoa to Sanremo	km (mi)	Plain stage	Luciano Maggini ( ITA )
9 June	Sanremo to Cuneo	km (mi)	Stage with mountain(s)	Oreste Conte ( ITA )
10 June	Cuneo to Pinerolo	km (mi)	Stage with mountain(s)	Fausto Coppi ( ITA )
11 June	Pinerolo to Turin	km (mi)	Individual time trial	Antonio Bevilacqua ( ITA )
12 June	Turin to Monza	km (mi)	Stage with mountain(s)	Giovanni Corrieri ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
